trial,engine,trader_type,balance
1,BSE,ZIP,0.0
1,BSE,ZIP,603.0
1,BSE,ZIP,608.0
1,BSE,ZIP,12.0
1,BSE,SHVR,0.0
1,BSE,SHVR,4528.0
1,BSE,SHVR,2069.0
1,BSE,SHVR,105.0
1,BSE,GVWY,0.0
1,BSE,GVWY,61.0
1,BSE,GVWY,6790.0
1,BSE,GVWY,2844.0
1,BSE,ZIC,46.0
1,BSE,ZIC,1309.0
1,BSE,ZIC,4585.0
1,BSE,ZIC,0.0
1,BSE,RL,2192.0
1,BSE,GA,4933.0
2,BSE,SHVR,0.0
2,BSE,SHVR,0.0
2,BSE,SHVR,1499.0
2,BSE,SHVR,0.0
2,BSE,ZIC,15.0
2,BSE,ZIC,257.0
2,BSE,ZIC,6906.0
2,BSE,ZIC,1766.0
2,BSE,ZIP,217.0
2,BSE,ZIP,5680.0
2,BSE,ZIP,317.0
2,BSE,ZIP,8.0
2,BSE,GVWY,27.0
2,BSE,GVWY,1092.0
2,BSE,GVWY,5465.0
2,BSE,GVWY,3076.0
2,BSE,RL,1216.0
2,BSE,GA,2255.0
3,BSE,GVWY,0.0
3,BSE,GVWY,341.0
3,BSE,GVWY,8070.0
3,BSE,GVWY,6201.0
3,BSE,GA,0.0
3,BSE,SHVR,0.0
3,BSE,SHVR,374.0
3,BSE,SHVR,2606.0
3,BSE,SHVR,288.0
3,BSE,RL,35.0
3,BSE,ZIP,155.0
3,BSE,ZIP,3801.0
3,BSE,ZIP,4547.0
3,BSE,ZIP,0.0
3,BSE,ZIC,1536.0
3,BSE,ZIC,4241.0
3,BSE,ZIC,408.0
3,BSE,ZIC,0.0
4,BSE,SHVR,0.0
4,BSE,SHVR,6236.0
4,BSE,SHVR,7102.0
4,BSE,SHVR,568.0
4,BSE,ZIC,0.0
4,BSE,ZIC,662.0
4,BSE,ZIC,3682.0
4,BSE,ZIC,0.0
4,BSE,ZIP,7.0
4,BSE,ZIP,194.0
4,BSE,ZIP,3078.0
4,BSE,ZIP,1221.0
4,BSE,RL,28.0
4,BSE,GVWY,1446.0
4,BSE,GVWY,4316.0
4,BSE,GVWY,18.0
4,BSE,GVWY,2.0
4,BSE,GA,2940.0
5,BSE,GA,0.0
5,BSE,ZIC,0.0
5,BSE,ZIC,245.0
5,BSE,ZIC,522.0
5,BSE,ZIC,43.0
5,BSE,ZIP,0.0
5,BSE,ZIP,116.0
5,BSE,ZIP,8222.0
5,BSE,ZIP,2129.0
5,BSE,GVWY,0.0
5,BSE,GVWY,2562.0
5,BSE,GVWY,5812.0
5,BSE,GVWY,0.0
5,BSE,RL,1021.0
5,BSE,SHVR,2351.0
5,BSE,SHVR,5573.0
5,BSE,SHVR,4408.0
5,BSE,SHVR,32.0
6,BSE,ZIC,0.0
6,BSE,ZIC,0.0
6,BSE,ZIC,2666.0
6,BSE,ZIC,0.0
6,BSE,GVWY,0.0
6,BSE,GVWY,5081.0
6,BSE,GVWY,7710.0
6,BSE,GVWY,390.0
6,BSE,SHVR,2.0
6,BSE,SHVR,4275.0
6,BSE,SHVR,2081.0
6,BSE,SHVR,107.0
6,BSE,ZIP,113.0
6,BSE,ZIP,1289.0
6,BSE,ZIP,5687.0
6,BSE,ZIP,16.0
6,BSE,GA,98.0
6,BSE,RL,2364.0
7,BSE,SHVR,0.0
7,BSE,SHVR,2385.0
7,BSE,SHVR,6536.0
7,BSE,SHVR,4667.0
7,BSE,GA,0.0
7,BSE,ZIP,0.0
7,BSE,ZIP,17.0
7,BSE,ZIP,58.0
7,BSE,ZIP,0.0
7,BSE,GVWY,0.0
7,BSE,GVWY,2440.0
7,BSE,GVWY,7546.0
7,BSE,GVWY,64.0
7,BSE,ZIC,99.0
7,BSE,ZIC,4384.0
7,BSE,ZIC,1202.0
7,BSE,ZIC,325.0
7,BSE,RL,945.0
8,BSE,ZIP,0.0
8,BSE,ZIP,3111.0
8,BSE,ZIP,1617.0
8,BSE,ZIP,351.0
8,BSE,RL,0.0
8,BSE,GVWY,0.0
8,BSE,GVWY,4214.0
8,BSE,GVWY,2688.0
8,BSE,GVWY,49.0
8,BSE,ZIC,24.0
8,BSE,ZIC,627.0
8,BSE,ZIC,6009.0
8,BSE,ZIC,0.0
8,BSE,SHVR,191.0
8,BSE,SHVR,6311.0
8,BSE,SHVR,5358.0
8,BSE,SHVR,0.0
8,BSE,GA,1356.0
9,BSE,GVWY,0.0
9,BSE,GVWY,5497.0
9,BSE,GVWY,3273.0
9,BSE,GVWY,0.0
9,BSE,SHVR,0.0
9,BSE,SHVR,0.0
9,BSE,SHVR,7565.0
9,BSE,SHVR,68.0
9,BSE,ZIC,0.0
9,BSE,ZIC,1072.0
9,BSE,ZIC,4397.0
9,BSE,ZIC,614.0
9,BSE,GA,12.0
9,BSE,RL,487.0
9,BSE,ZIP,3234.0
9,BSE,ZIP,4658.0
9,BSE,ZIP,199.0
9,BSE,ZIP,2.0
10,BSE,SHVR,0.0
10,BSE,SHVR,0.0
10,BSE,SHVR,2138.0
10,BSE,SHVR,744.0
10,BSE,ZIP,12.0
10,BSE,ZIP,952.0
10,BSE,ZIP,8098.0
10,BSE,ZIP,8.0
10,BSE,GVWY,16.0
10,BSE,GVWY,2027.0
10,BSE,GVWY,2187.0
10,BSE,GVWY,71.0
10,BSE,ZIC,73.0
10,BSE,ZIC,3896.0
10,BSE,ZIC,3862.0
10,BSE,ZIC,0.0
10,BSE,RL,1374.0
10,BSE,GA,5252.0
