B00, 100
B00, Trade, 21748.000, 114, B00, S02, 1
B00, Trade, 21783.538, 110, B00, S05, 1
B00, Trade, 21802.385, 105, S10, B00, 1
B00, Trade, 21856.308, 108, B00, S01, 1
B00, Trade, 21864.154, 107, S04, B00, 1
B00, Trade, 21882.885, 111, B00, S10, 1
B00, Trade, 21898.577, 110, S01, B00, 1
B00, Trade, 21917.231, 114, B00, S02, 1
B00, Trade, 21929.731, 112, S03, B00, 1
B00, Trade, 21932.500, 111, S05, B00, 1
B00, Trade, 21945.808, 101, B00, S04, 1
B00, Trade, 21957.423, 125, B00, S10, 1
B00, Trade, 22000.962, 110, B00, S03, 1
B00, Trade, 22019.308, 107, B00, S02, 1
B00, Trade, 22031.115, 111, B00, S02, 1
B00, Trade, 22056.462, 113, S05, B00, 1
B00, Trade, 22075.269, 106, B00, S08, 1
B00, Trade, 22093.538, 118, S01, B00, 1
B00, Trade, 22102.385, 121, S07, B00, 1
B00, Trade, 22128.385, 115, S05, B00, 1
B00, Trade, 22137.423, 118, B00, S00, 1
B00, Trade, 22211.192, 110, S00, B00, 1
B00, Trade, 22243.231, 110, B00, S11, 1
B00, Trade, 22244.654, 114, B00, S08, 1
B00, Trade, 22253.962, 115, S00, B00, 1
B00, Trade, 22336.346, 112, B00, S08, 1
B00, Trade, 22373.000, 119, B00, S00, 1
B00, Trade, 22488.077, 119, S01, B00, 1
B00, Trade, 22504.885, 116, B00, S04, 1
B00, Trade, 22508.192, 123, S07, B00, 1
B00, Trade, 22519.423, 110, S04, B00, 1
B00, Trade, 22614.615, 117, S07, B00, 1
B00, Trade, 22642.808, 138, S04, B00, 1
B00, Trade, 22705.885, 117, S00, B00, 1
B00, Trade, 22779.000, 123, S04, B00, 1
B00, Trade, 22833.808, 133, B00, S10, 1
B00, Trade, 22844.923, 141, B00, S06, 1
B00, Trade, 22867.192, 141, S01, B00, 1
B00, Trade, 22889.808, 138, S07, B00, 1
B00, Trade, 22924.500, 140, B00, S00, 1
B00, Trade, 22937.077, 139, B00, S02, 1
B00, Trade, 23004.538, 120, B00, S00, 1
B00, Trade, 23034.769, 122, S05, B00, 1
B00, Trade, 23055.269, 148, B00, S08, 1
B00, Trade, 23140.154, 147, B00, S01, 1
B00, Trade, 23158.808, 136, B00, S00, 1
B00, Trade, 23237.615, 123, B00, S11, 1
B00, Trade, 23259.577, 129, S09, B00, 1
B00, Trade, 23273.808, 135, B00, S02, 1
B00, Trade, 23362.731, 140, B00, S08, 1
B00, Trade, 23373.731, 125, B00, S05, 1
B00, Trade, 23405.808, 139, S03, B00, 1
B00, Trade, 23437.923, 125, B00, S08, 1
B00, Trade, 23486.154, 139, B00, S08, 1
B00, Trade, 23541.462, 130, B00, S00, 1
B00, Trade, 23555.923, 111, S04, B00, 1
B00, Trade, 23683.308, 118, S00, B00, 1
B00, Trade, 23748.923, 120, S02, B00, 1
B00, Trade, 23771.577, 118, S08, B00, 1
B00, Trade, 23817.500, 116, B00, S10, 1
B00, Trade, 23819.423, 120, S01, B00, 1
B00, Trade, 23831.192, 121, S05, B00, 1
B00, Trade, 23863.115, 123, B00, S07, 1
B00, Trade, 23975.615, 115, B00, S04, 1
B00, Trade, 24006.962, 134, B00, S04, 1
B00, Trade, 24020.962, 123, B00, S01, 1
B00, Trade, 24031.308, 132, B00, S02, 1
B00, Trade, 24064.192, 123, S07, B00, 1
B00, Trade, 24093.115, 110, S00, B00, 1
B00, Trade, 24109.654, 117, B00, S10, 1
B00, Trade, 24112.923, 121, S05, B00, 1
B00, Trade, 24149.462, 122, B00, S02, 1
B00, Trade, 24162.885, 126, S05, B00, 1
B00, Trade, 24169.077, 122, S05, B00, 1
B00, Trade, 24192.654, 121, S00, B00, 1
B00, Trade, 24241.538, 118, B00, S11, 1
B00, Trade, 24274.269, 112, B00, S00, 1
B00, Trade, 24284.077, 117, S03, B00, 1
B00, Trade, 24323.731, 111, B00, S04, 1
B00, Trade, 24352.615, 120, S07, B00, 1
B00, Trade, 24476.615, 122, S04, B00, 1
B00, Trade, 24519.769, 123, S05, B00, 1
B00, Trade, 24528.846, 132, B00, S00, 1
B00, Trade, 24542.654, 123, B00, S11, 1
B00, Trade, 24646.231, 123, S05, B00, 1
B00, Trade, 24662.115, 119, S03, B00, 1
B00, Trade, 24675.962, 124, S07, B00, 1
B00, Trade, 24678.077, 125, S00, B00, 1
B00, Trade, 24780.654, 125, B00, S03, 1
B00, Trade, 24797.462, 123, B00, S06, 1
B00, Trade, 24836.692, 125, B00, S00, 1
B00, Trade, 24878.000, 110, B00, S08, 1
B00, Trade, 24887.846, 123, B00, S10, 1
B00, Trade, 24898.885, 122, B00, S08, 1
B00, Trade, 24910.423, 122, B00, S08, 1
B00, Trade, 24959.769, 123, B00, S03, 1
B00, Trade, 24968.885, 118, S04, B00, 1
B00, Trade, 25016.692, 125, S02, B00, 1
B00, Trade, 25043.308, 124, B00, S07, 1
B00, Trade, 25168.385, 117, S10, B00, 1
B01, 100
B01, Trade, 23834.231, 119, B01, S10, 1
B01, Trade, 23845.115, 120, S05, B01, 1
B01, Trade, 23857.269, 128, B01, S08, 1
B01, Trade, 23869.000, 128, B01, S09, 1
B01, Trade, 23893.885, 115, S08, B01, 1
B01, Trade, 23903.846, 121, B01, S08, 1
B01, Trade, 23921.654, 121, B01, S04, 1
B01, Trade, 23931.500, 123, B01, S10, 1
B01, Trade, 23946.038, 132, B01, S06, 1
B01, Trade, 23957.154, 119, B01, S10, 1
B01, Trade, 23977.538, 117, B01, S03, 1
B01, Trade, 23999.923, 126, B01, S08, 1
B01, Trade, 24020.038, 124, S00, B01, 1
B01, Trade, 24027.654, 122, B01, S10, 1
B01, Trade, 24043.731, 119, B01, S00, 1
B01, Trade, 24073.577, 117, B01, S02, 1
B01, Trade, 24083.115, 122, S02, B01, 1
B01, Trade, 24094.038, 109, B01, S01, 1
B01, Trade, 24099.923, 110, B01, S01, 1
B01, Trade, 24113.808, 123, S01, B01, 1
B01, Trade, 24126.154, 124, B01, S04, 1
B01, Trade, 24139.615, 124, B01, S10, 1
B01, Trade, 24145.154, 109, B01, S04, 1
B01, Trade, 24156.808, 120, B01, S07, 1
B01, Trade, 24165.615, 118, B01, S01, 1
B01, Trade, 24174.269, 123, B01, S09, 1
B01, Trade, 24184.423, 134, B01, S04, 1
B01, Trade, 24188.654, 125, B01, S01, 1
B01, Trade, 24212.269, 109, B01, S02, 1
B01, Trade, 24217.385, 115, S09, B01, 1
B01, Trade, 24240.308, 121, B01, S04, 1
B01, Trade, 24257.269, 122, B01, S10, 1
B01, Trade, 24283.192, 110, B01, S10, 1
B01, Trade, 24305.846, 122, B01, S01, 1
B01, Trade, 24323.308, 111, B01, S00, 1
B01, Trade, 24336.500, 126, B01, S09, 1
B01, Trade, 24346.500, 131, B01, S00, 1
B01, Trade, 24357.115, 119, B01, S08, 1
B01, Trade, 24361.077, 126, B01, S02, 1
B01, Trade, 24376.192, 121, B01, S07, 1
B01, Trade, 24396.538, 127, S03, B01, 1
B01, Trade, 24402.192, 122, B01, S03, 1
B01, Trade, 24413.115, 118, B01, S08, 1
B01, Trade, 24443.077, 118, B01, S10, 1
B01, Trade, 24446.000, 112, B01, S08, 1
B01, Trade, 24451.500, 122, S10, B01, 1
B01, Trade, 24460.769, 129, B01, S03, 1
