B00, 0
B01, 0
B02, 1
B02, Trade, 5886.632, 90, B02, S00, 1
B03, 14
B03, Trade, 1600.158, 97, B03, S02, 1
B03, Trade, 1740.947, 97, B03, S00, 1
B03, Trade, 2082.632, 97, B03, S02, 1
B03, Trade, 2497.053, 97, B03, S00, 1
B03, Trade, 2595.105, 97, B03, S02, 1
B03, Trade, 2982.368, 97, B03, S02, 1
B03, Trade, 3690.263, 97, B03, S00, 1
B03, Trade, 3835.474, 97, B03, S02, 1
B03, Trade, 4346.842, 97, B03, S00, 1
B03, Trade, 4519.158, 97, B03, S02, 1
B03, Trade, 4964.263, 97, B03, S02, 1
B03, Trade, 5485.474, 97, B03, S02, 1
B03, Trade, 5833.263, 97, B03, S02, 1
B03, Trade, 5957.895, 97, B03, S02, 1
B04, 1
B04, Trade, 3052.947, 101, B04, S02, 1
B05, 76
B05, Trade, 36.158, 112, B05, S02, 1
B05, Trade, 96.368, 112, B05, S02, 1
B05, Trade, 223.526, 112, B05, S02, 1
B05, Trade, 324.158, 112, B05, S03, 1
B05, Trade, 411.263, 112, B05, S00, 1
B05, Trade, 635.263, 112, B05, S00, 1
B05, Trade, 772.000, 112, B05, S03, 1
B05, Trade, 819.000, 112, B05, S03, 1
B05, Trade, 909.316, 112, B05, S00, 1
B05, Trade, 978.895, 112, B05, S00, 1
B05, Trade, 1017.158, 112, B05, S03, 1
B05, Trade, 1108.421, 112, B05, S00, 1
B05, Trade, 1149.105, 112, B05, S00, 1
B05, Trade, 1335.053, 112, B05, S00, 1
B05, Trade, 1383.474, 112, B05, S03, 1
B05, Trade, 1500.632, 112, B05, S03, 1
B05, Trade, 1557.474, 112, B05, S00, 1
B05, Trade, 1588.895, 112, B05, S00, 1
B05, Trade, 1627.842, 112, B05, S03, 1
B05, Trade, 1724.947, 112, B05, S03, 1
B05, Trade, 1811.842, 110, B05, S00, 1
B05, Trade, 1817.000, 98, B05, S02, 1
B05, Trade, 1942.421, 112, B05, S02, 1
B05, Trade, 2022.947, 112, B05, S03, 1
B05, Trade, 2078.474, 112, B05, S00, 1
B05, Trade, 2180.947, 112, B05, S03, 1
B05, Trade, 2320.368, 112, B05, S03, 1
B05, Trade, 2358.053, 104, B05, S02, 1
B05, Trade, 2467.737, 112, B05, S03, 1
B05, Trade, 2496.947, 112, B05, S03, 1
B05, Trade, 2580.105, 112, B05, S02, 1
B05, Trade, 2665.158, 112, B05, S02, 1
B05, Trade, 2710.842, 112, B05, S03, 1
B05, Trade, 2829.947, 112, B05, S02, 1
B05, Trade, 2859.421, 112, B05, S03, 1
B05, Trade, 2978.526, 112, B05, S00, 1
B05, Trade, 3038.737, 112, B05, S00, 1
B05, Trade, 3322.474, 112, B05, S03, 1
B05, Trade, 3383.842, 112, B05, S00, 1
B05, Trade, 3433.526, 102, B05, S02, 1
B05, Trade, 3541.632, 112, B05, S03, 1
B05, Trade, 3566.158, 112, B05, S03, 1
B05, Trade, 3610.368, 112, B05, S03, 1
B05, Trade, 3632.684, 112, B05, S02, 1
B05, Trade, 3690.053, 112, B05, S02, 1
B05, Trade, 3737.632, 112, B05, S02, 1
B05, Trade, 3829.000, 98, B05, S00, 1
B05, Trade, 3953.579, 101, B05, S02, 1
B05, Trade, 4108.263, 112, B05, S03, 1
B05, Trade, 4184.053, 112, B05, S02, 1
B05, Trade, 4281.632, 112, B05, S00, 1
B05, Trade, 4345.632, 112, B05, S02, 1
B05, Trade, 4369.789, 112, B05, S02, 1
B05, Trade, 4462.211, 112, B05, S03, 1
B05, Trade, 4515.789, 112, B05, S03, 1
B05, Trade, 4524.737, 98, B05, S00, 1
B05, Trade, 4602.737, 112, B05, S03, 1
B05, Trade, 4662.684, 99, B05, S02, 1
B05, Trade, 4775.421, 110, B05, S00, 1
B05, Trade, 4845.737, 112, B05, S00, 1
B05, Trade, 4955.053, 112, B05, S03, 1
B05, Trade, 5006.421, 112, B05, S03, 1
B05, Trade, 5076.526, 112, B05, S03, 1
B05, Trade, 5141.895, 112, B05, S03, 1
B05, Trade, 5196.368, 112, B05, S03, 1
B05, Trade, 5267.211, 112, B05, S03, 1
B05, Trade, 5351.632, 112, B05, S03, 1
B05, Trade, 5451.158, 112, B05, S00, 1
B05, Trade, 5477.421, 112, B05, S03, 1
B05, Trade, 5519.895, 112, B05, S02, 1
B05, Trade, 5566.316, 112, B05, S02, 1
B05, Trade, 5607.737, 112, B05, S03, 1
B05, Trade, 5675.684, 112, B05, S03, 1
B05, Trade, 5813.526, 112, B05, S00, 1
B05, Trade, 5881.158, 112, B05, S02, 1
B05, Trade, 5957.842, 112, B05, S00, 1
B06, 144
B06, Trade, 11.737, 107, S03, B06, 1
B06, Trade, 88.000, 115, B06, S00, 1
B06, Trade, 171.947, 115, B06, S02, 1
B06, Trade, 212.105, 115, B06, S03, 1
B06, Trade, 248.737, 115, B06, S03, 1
B06, Trade, 302.105, 114, B06, S00, 1
B06, Trade, 347.684, 115, B06, S02, 1
B06, Trade, 407.526, 115, B06, S03, 1
B06, Trade, 441.789, 115, B06, S00, 1
B06, Trade, 473.263, 115, B06, S00, 1
B06, Trade, 501.105, 115, B06, S02, 1
B06, Trade, 522.000, 115, B06, S00, 1
B06, Trade, 550.526, 115, B06, S00, 1
B06, Trade, 560.474, 115, B06, S02, 1
B06, Trade, 624.895, 114, B06, S03, 1
B06, Trade, 633.579, 114, B06, S02, 1
B06, Trade, 683.632, 115, B06, S03, 1
B06, Trade, 719.053, 115, B06, S02, 1
B06, Trade, 753.632, 115, B06, S00, 1
B06, Trade, 771.526, 115, B06, S00, 1
B06, Trade, 812.684, 115, B06, S00, 1
B06, Trade, 909.263, 115, B06, S02, 1
B06, Trade, 946.158, 115, B06, S02, 1
B06, Trade, 1012.053, 115, B06, S00, 1
B06, Trade, 1045.421, 115, B06, S03, 1
B06, Trade, 1073.211, 115, B06, S02, 1
B06, Trade, 1099.947, 115, B06, S03, 1
B06, Trade, 1138.842, 115, B06, S02, 1
B06, Trade, 1202.947, 115, B06, S03, 1
B06, Trade, 1228.947, 115, B06, S00, 1
B06, Trade, 1289.789, 115, B06, S02, 1
B06, Trade, 1313.000, 115, B06, S00, 1
B06, Trade, 1378.842, 115, B06, S00, 1
B06, Trade, 1442.263, 115, B06, S02, 1
B06, Trade, 1493.316, 115, B06, S02, 1
B06, Trade, 1537.053, 115, B06, S03, 1
B06, Trade, 1547.368, 115, B06, S02, 1
B06, Trade, 1575.263, 115, B06, S02, 1
B06, Trade, 1640.211, 115, B06, S00, 1
B06, Trade, 1694.895, 115, B06, S02, 1
B06, Trade, 1721.632, 115, B06, S00, 1
B06, Trade, 1797.737, 115, B06, S02, 1
B06, Trade, 1836.474, 115, B06, S03, 1
B06, Trade, 1890.842, 115, B06, S02, 1
B06, Trade, 1899.474, 115, B06, S00, 1
B06, Trade, 1935.000, 115, B06, S00, 1
B06, Trade, 1985.579, 115, B06, S02, 1
B06, Trade, 1996.842, 115, B06, S03, 1
B06, Trade, 2036.263, 115, B06, S02, 1
B06, Trade, 2063.632, 115, B06, S00, 1
B06, Trade, 2173.105, 115, B06, S02, 1
B06, Trade, 2232.789, 115, B06, S03, 1
B06, Trade, 2256.895, 114, B06, S02, 1
B06, Trade, 2267.947, 115, B06, S03, 1
B06, Trade, 2294.000, 115, B06, S03, 1
B06, Trade, 2354.263, 115, B06, S00, 1
B06, Trade, 2413.737, 115, B06, S03, 1
B06, Trade, 2463.368, 115, B06, S02, 1
B06, Trade, 2501.789, 115, B06, S00, 1
B06, Trade, 2557.895, 115, B06, S02, 1
B06, Trade, 2567.474, 107, S03, B06, 1
B06, Trade, 2603.000, 115, B06, S00, 1
B06, Trade, 2628.474, 114, B06, S03, 1
B06, Trade, 2654.895, 115, B06, S00, 1
B06, Trade, 2705.211, 115, B06, S02, 1
B06, Trade, 2780.316, 115, B06, S02, 1
B06, Trade, 2796.842, 115, B06, S00, 1
B06, Trade, 2824.842, 115, B06, S02, 1
B06, Trade, 2839.842, 115, B06, S03, 1
B06, Trade, 2896.842, 115, B06, S02, 1
B06, Trade, 2905.158, 115, B06, S00, 1
B06, Trade, 2940.211, 115, B06, S03, 1
B06, Trade, 2977.947, 114, B06, S02, 1
B06, Trade, 3036.053, 115, B06, S03, 1
B06, Trade, 3094.421, 115, B06, S02, 1
B06, Trade, 3127.211, 114, B06, S00, 1
B06, Trade, 3164.737, 115, B06, S00, 1
B06, Trade, 3218.526, 115, B06, S03, 1
B06, Trade, 3262.211, 115, B06, S02, 1
B06, Trade, 3287.632, 115, B06, S02, 1
B06, Trade, 3309.526, 115, B06, S00, 1
B06, Trade, 3348.632, 115, B06, S02, 1
B06, Trade, 3413.842, 115, B06, S00, 1
B06, Trade, 3482.474, 115, B06, S03, 1
B06, Trade, 3535.895, 115, B06, S02, 1
B06, Trade, 3565.947, 115, B06, S02, 1
B06, Trade, 3593.789, 115, B06, S02, 1
B06, Trade, 3643.789, 115, B06, S03, 1
B06, Trade, 3735.526, 115, B06, S00, 1
B06, Trade, 3786.421, 115, B06, S00, 1
B06, Trade, 3808.158, 115, B06, S00, 1
B06, Trade, 3842.263, 112, S01, B06, 1
B06, Trade, 3870.158, 115, B06, S03, 1
B06, Trade, 3939.316, 115, B06, S02, 1
B06, Trade, 3997.158, 115, B06, S00, 1
B06, Trade, 4034.947, 115, B06, S03, 1
B06, Trade, 4040.000, 115, B06, S02, 1
B06, Trade, 4093.158, 115, B06, S00, 1
B06, Trade, 4097.737, 115, B06, S02, 1
B06, Trade, 4149.842, 115, B06, S03, 1
B06, Trade, 4174.895, 115, B06, S03, 1
B06, Trade, 4270.895, 115, B06, S03, 1
B06, Trade, 4294.000, 115, B06, S03, 1
B06, Trade, 4329.526, 114, B06, S02, 1
B06, Trade, 4341.526, 114, B06, S03, 1
B06, Trade, 4398.632, 115, B06, S02, 1
B06, Trade, 4450.263, 115, B06, S03, 1
B06, Trade, 4514.895, 115, B06, S02, 1
B06, Trade, 4571.526, 114, B06, S00, 1
B06, Trade, 4602.158, 115, B06, S00, 1
B06, Trade, 4661.737, 115, B06, S02, 1
B06, Trade, 4721.263, 114, B06, S03, 1
B06, Trade, 4737.895, 114, B06, S00, 1
B06, Trade, 4766.842, 115, B06, S02, 1
B06, Trade, 4796.368, 115, B06, S03, 1
B06, Trade, 4842.368, 115, B06, S03, 1
B06, Trade, 4859.421, 114, S01, B06, 1
B06, Trade, 4898.263, 115, B06, S00, 1
B06, Trade, 4911.842, 115, B06, S03, 1
B06, Trade, 4946.895, 115, B06, S02, 1
B06, Trade, 5002.789, 115, B06, S02, 1
B06, Trade, 5075.158, 115, B06, S02, 1
B06, Trade, 5130.632, 115, B06, S02, 1
B06, Trade, 5151.421, 115, B06, S02, 1
B06, Trade, 5192.368, 115, B06, S00, 1
B06, Trade, 5246.895, 115, B06, S03, 1
B06, Trade, 5275.368, 115, B06, S00, 1
B06, Trade, 5328.105, 115, B06, S00, 1
B06, Trade, 5339.158, 115, B06, S02, 1
B06, Trade, 5369.789, 115, B06, S00, 1
B06, Trade, 5405.842, 115, B06, S03, 1
B06, Trade, 5416.474, 115, B06, S03, 1
B06, Trade, 5458.105, 115, B06, S00, 1
B06, Trade, 5561.421, 115, B06, S00, 1
B06, Trade, 5592.632, 115, B06, S00, 1
B06, Trade, 5607.105, 115, B06, S02, 1
B06, Trade, 5652.421, 115, B06, S03, 1
B06, Trade, 5698.421, 115, B06, S00, 1
B06, Trade, 5742.684, 115, B06, S03, 1
B06, Trade, 5779.421, 114, B06, S03, 1
B06, Trade, 5792.368, 115, B06, S02, 1
B06, Trade, 5828.579, 115, B06, S00, 1
B06, Trade, 5873.105, 115, B06, S03, 1
B06, Trade, 5983.158, 114, B06, S03, 1
B07, 177
B07, Trade, 30.421, 121, B07, S01, 1
B07, Trade, 65.789, 121, B07, S02, 1
B07, Trade, 86.632, 121, B07, S03, 1
B07, Trade, 114.474, 121, B07, S00, 1
B07, Trade, 146.579, 121, B07, S03, 1
B07, Trade, 159.263, 121, B07, S03, 1
B07, Trade, 205.947, 117, S01, B07, 1
B07, Trade, 244.474, 121, B07, S03, 1
B07, Trade, 271.842, 121, B07, S02, 1
B07, Trade, 295.579, 121, B07, S04, 1
B07, Trade, 329.053, 117, S04, B07, 1
B07, Trade, 363.737, 121, B07, S00, 1
B07, Trade, 391.053, 121, B07, S02, 1
B07, Trade, 412.105, 116, S01, B07, 1
B07, Trade, 437.737, 121, B07, S02, 1
B07, Trade, 463.632, 121, B07, S02, 1
B07, Trade, 500.947, 121, B07, S00, 1
B07, Trade, 520.895, 121, B07, S02, 1
B07, Trade, 594.895, 121, B07, S00, 1
B07, Trade, 604.105, 121, B07, S02, 1
B07, Trade, 623.474, 117, S01, B07, 1
B07, Trade, 661.579, 121, B07, S03, 1
B07, Trade, 718.105, 121, B07, S03, 1
B07, Trade, 750.211, 121, B07, S02, 1
B07, Trade, 767.474, 121, B07, S02, 1
B07, Trade, 811.789, 121, B07, S02, 1
B07, Trade, 839.842, 121, B07, S02, 1
B07, Trade, 869.474, 121, B07, S02, 1
B07, Trade, 908.842, 121, B07, S01, 1
B07, Trade, 914.105, 107, S03, B07, 1
B07, Trade, 972.053, 121, B07, S02, 1
B07, Trade, 1006.737, 121, B07, S04, 1
B07, Trade, 1060.368, 121, B07, S03, 1
B07, Trade, 1096.263, 121, B07, S02, 1
B07, Trade, 1125.526, 122, B07, S00, 1
B07, Trade, 1201.684, 121, B07, S00, 1
B07, Trade, 1227.947, 117, S01, B07, 1
B07, Trade, 1264.895, 121, B07, S03, 1
B07, Trade, 1287.368, 117, S04, B07, 1
B07, Trade, 1324.895, 121, B07, S03, 1
B07, Trade, 1345.579, 117, S04, B07, 1
B07, Trade, 1356.105, 117, S01, B07, 1
B07, Trade, 1423.263, 121, B07, S03, 1
B07, Trade, 1462.895, 121, B07, S02, 1
B07, Trade, 1497.947, 121, B07, S00, 1
B07, Trade, 1532.526, 121, B07, S02, 1
B07, Trade, 1559.579, 117, S01, B07, 1
B07, Trade, 1593.316, 117, S01, B07, 1
B07, Trade, 1604.474, 107, S03, B07, 1
B07, Trade, 1652.474, 122, B07, S02, 1
B07, Trade, 1668.263, 121, B07, S02, 1
B07, Trade, 1704.368, 117, S04, B07, 1
B07, Trade, 1772.053, 121, B07, S03, 1
B07, Trade, 1790.632, 121, B07, S00, 1
B07, Trade, 1806.263, 112, S01, B07, 1
B07, Trade, 1862.263, 121, B07, S03, 1
B07, Trade, 1889.421, 121, B07, S04, 1
B07, Trade, 1926.737, 121, B07, S03, 1
B07, Trade, 1956.211, 122, B07, S01, 1
B07, Trade, 1983.842, 121, B07, S03, 1
B07, Trade, 2015.789, 121, B07, S02, 1
B07, Trade, 2039.316, 118, S00, B07, 1
B07, Trade, 2050.684, 121, B07, S03, 1
B07, Trade, 2122.105, 121, B07, S02, 1
B07, Trade, 2128.789, 122, B07, S03, 1
B07, Trade, 2169.211, 121, B07, S04, 1
B07, Trade, 2172.000, 121, S01, B07, 1
B07, Trade, 2217.737, 117, S04, B07, 1
B07, Trade, 2256.316, 121, B07, S00, 1
B07, Trade, 2275.737, 121, B07, S00, 1
B07, Trade, 2300.526, 121, B07, S04, 1
B07, Trade, 2337.316, 121, B07, S02, 1
B07, Trade, 2385.842, 121, B07, S03, 1
B07, Trade, 2410.368, 122, B07, S02, 1
B07, Trade, 2452.526, 121, B07, S01, 1
B07, Trade, 2480.474, 121, B07, S02, 1
B07, Trade, 2527.947, 121, B07, S03, 1
B07, Trade, 2553.105, 121, B07, S00, 1
B07, Trade, 2593.737, 121, B07, S03, 1
B07, Trade, 2639.263, 121, B07, S04, 1
B07, Trade, 2691.421, 121, B07, S03, 1
B07, Trade, 2702.737, 121, B07, S04, 1
B07, Trade, 2758.158, 121, B07, S00, 1
B07, Trade, 2810.263, 121, B07, S03, 1
B07, Trade, 2846.316, 122, B07, S04, 1
B07, Trade, 2866.368, 121, B07, S02, 1
B07, Trade, 2907.579, 117, S04, B07, 1
B07, Trade, 2977.526, 121, B07, S03, 1
B07, Trade, 3008.316, 121, B07, S03, 1
B07, Trade, 3027.053, 121, B07, S02, 1
B07, Trade, 3058.000, 121, B07, S00, 1
B07, Trade, 3088.421, 121, B07, S03, 1
B07, Trade, 3127.158, 121, B07, S03, 1
B07, Trade, 3162.526, 121, B07, S02, 1
B07, Trade, 3205.263, 121, B07, S02, 1
B07, Trade, 3241.789, 121, B07, S02, 1
B07, Trade, 3248.211, 122, B07, S03, 1
B07, Trade, 3285.789, 121, B07, S03, 1
B07, Trade, 3303.421, 118, S01, B07, 1
B07, Trade, 3334.895, 121, B07, S02, 1
B07, Trade, 3368.263, 122, B07, S00, 1
B07, Trade, 3401.895, 122, B07, S02, 1
B07, Trade, 3478.579, 121, B07, S02, 1
B07, Trade, 3491.842, 121, B07, S00, 1
B07, Trade, 3503.158, 121, B07, S03, 1
B07, Trade, 3551.000, 119, S01, B07, 1
B07, Trade, 3564.211, 119, S01, B07, 1
B07, Trade, 3603.316, 121, B07, S03, 1
B07, Trade, 3632.421, 121, B07, S00, 1
B07, Trade, 3669.895, 121, B07, S02, 1
B07, Trade, 3729.105, 121, B07, S04, 1
B07, Trade, 3778.895, 121, B07, S02, 1
B07, Trade, 3807.789, 121, B07, S03, 1
B07, Trade, 3846.842, 117, S04, B07, 1
B07, Trade, 3869.474, 121, B07, S02, 1
B07, Trade, 3917.526, 121, B07, S04, 1
B07, Trade, 3929.263, 121, B07, S03, 1
B07, Trade, 3992.421, 122, B07, S02, 1
B07, Trade, 4015.947, 121, B07, S00, 1
B07, Trade, 4079.368, 121, B07, S03, 1
B07, Trade, 4126.684, 121, B07, S02, 1
B07, Trade, 4156.737, 121, B07, S00, 1
B07, Trade, 4242.211, 121, B07, S02, 1
B07, Trade, 4268.368, 117, S04, B07, 1
B07, Trade, 4292.053, 122, B07, S04, 1
B07, Trade, 4323.737, 121, B07, S03, 1
B07, Trade, 4348.684, 117, S04, B07, 1
B07, Trade, 4429.105, 121, B07, S02, 1
B07, Trade, 4457.789, 121, B07, S04, 1
B07, Trade, 4510.842, 121, B07, S00, 1
B07, Trade, 4519.579, 117, S01, B07, 1
B07, Trade, 4569.789, 121, B07, S02, 1
B07, Trade, 4580.895, 121, B07, S02, 1
B07, Trade, 4611.316, 112, S01, B07, 1
B07, Trade, 4647.947, 121, B07, S00, 1
B07, Trade, 4692.737, 121, B07, S02, 1
B07, Trade, 4700.737, 121, B07, S04, 1
B07, Trade, 4745.947, 121, B07, S03, 1
B07, Trade, 4760.526, 121, B07, S03, 1
B07, Trade, 4785.895, 117, S01, B07, 1
B07, Trade, 4834.474, 121, B07, S03, 1
B07, Trade, 4854.421, 121, B07, S02, 1
B07, Trade, 4888.474, 121, B07, S02, 1
B07, Trade, 4930.684, 121, B07, S00, 1
B07, Trade, 4940.526, 121, S01, B07, 1
B07, Trade, 4974.947, 122, B07, S00, 1
B07, Trade, 5020.263, 122, B07, S00, 1
B07, Trade, 5072.316, 121, B07, S00, 1
B07, Trade, 5111.632, 122, B07, S03, 1
B07, Trade, 5141.684, 121, B07, S00, 1
B07, Trade, 5173.789, 121, B07, S02, 1
B07, Trade, 5177.895, 121, B07, S01, 1
B07, Trade, 5234.895, 121, B07, S00, 1
B07, Trade, 5265.684, 121, B07, S02, 1
B07, Trade, 5287.368, 121, B07, S04, 1
B07, Trade, 5315.158, 121, B07, S00, 1
B07, Trade, 5352.421, 117, S04, B07, 1
B07, Trade, 5355.158, 122, B07, S02, 1
B07, Trade, 5401.211, 121, B07, S02, 1
B07, Trade, 5422.842, 121, B07, S02, 1
B07, Trade, 5476.789, 121, B07, S04, 1
B07, Trade, 5494.789, 121, S01, B07, 1
B07, Trade, 5549.105, 121, B07, S00, 1
B07, Trade, 5562.895, 117, S04, B07, 1
B07, Trade, 5569.474, 116, S01, B07, 1
B07, Trade, 5625.895, 121, B07, S01, 1
B07, Trade, 5642.579, 122, S01, B07, 1
B07, Trade, 5682.684, 122, B07, S02, 1
B07, Trade, 5711.632, 122, S01, B07, 1
B07, Trade, 5742.211, 121, B07, S02, 1
B07, Trade, 5760.789, 121, B07, S00, 1
B07, Trade, 5810.316, 121, B07, S03, 1
B07, Trade, 5832.789, 110, S01, B07, 1
B07, Trade, 5865.158, 121, B07, S00, 1
B07, Trade, 5917.368, 121, B07, S01, 1
B07, Trade, 5949.474, 121, B07, S02, 1
B07, Trade, 5985.316, 117, S04, B07, 1
B08, 193
B08, Trade, 25.842, 129, B08, S00, 1
B08, Trade, 52.000, 129, B08, S00, 1
B08, Trade, 68.895, 129, B08, S01, 1
B08, Trade, 119.895, 121, S01, B08, 1
B08, Trade, 132.579, 129, B08, S00, 1
B08, Trade, 160.789, 127, S04, B08, 1
B08, Trade, 211.947, 130, B08, S00, 1
B08, Trade, 227.526, 110, S01, B08, 1
B08, Trade, 266.316, 129, B08, S02, 1
B08, Trade, 289.053, 130, B08, S00, 1
B08, Trade, 315.737, 113, S01, B08, 1
B08, Trade, 360.263, 129, B08, S03, 1
B08, Trade, 384.632, 129, B08, S03, 1
B08, Trade, 435.000, 129, B08, S01, 1
B08, Trade, 457.895, 129, B08, S03, 1
