B00, 0
B01, 0
B02, 0
B03, 0
B04, 41
B04, Trade, 4.737, 105, B04, S01, 1
B04, Trade, 45.211, 105, B04, S00, 1
B04, Trade, 238.737, 105, B04, S00, 1
B04, Trade, 709.421, 105, B04, S00, 1
B04, Trade, 842.421, 105, B04, S00, 1
B04, Trade, 926.000, 105, B04, S00, 1
B04, Trade, 1044.421, 105, B04, S00, 1
B04, Trade, 1355.316, 105, B04, S00, 1
B04, Trade, 1427.684, 105, B04, S02, 1
B04, Trade, 1455.526, 105, B04, S00, 1
B04, Trade, 1559.263, 105, B04, S00, 1
B04, Trade, 1714.947, 105, B04, S00, 1
B04, Trade, 1745.105, 105, B04, S00, 1
B04, Trade, 1963.316, 105, B04, S00, 1
B04, Trade, 2000.947, 105, B04, S00, 1
B04, Trade, 2137.579, 105, B04, S00, 1
B04, Trade, 2577.000, 105, B04, S00, 1
B04, Trade, 2677.000, 105, B04, S00, 1
B04, Trade, 2726.105, 105, B04, S00, 1
B04, Trade, 2794.053, 105, B04, S00, 1
B04, Trade, 2887.579, 105, B04, S00, 1
B04, Trade, 2934.000, 105, B04, S00, 1
B04, Trade, 3148.526, 105, B04, S00, 1
B04, Trade, 3327.421, 105, B04, S00, 1
B04, Trade, 3572.737, 105, B04, S00, 1
B04, Trade, 3747.789, 105, B04, S00, 1
B04, Trade, 3904.263, 105, B04, S00, 1
B04, Trade, 3939.632, 105, B04, S00, 1
B04, Trade, 4057.737, 105, B04, S00, 1
B04, Trade, 4096.632, 105, B04, S00, 1
B04, Trade, 4515.947, 105, B04, S00, 1
B04, Trade, 4556.737, 105, B04, S00, 1
B04, Trade, 4691.000, 105, B04, S00, 1
B04, Trade, 5092.158, 105, B04, S02, 1
B04, Trade, 5180.211, 105, B04, S00, 1
B04, Trade, 5232.316, 105, B04, S00, 1
B04, Trade, 5424.105, 105, B04, S00, 1
B04, Trade, 5651.316, 105, B04, S00, 1
B04, Trade, 5733.211, 105, B04, S00, 1
B04, Trade, 5903.579, 105, B04, S00, 1
B04, Trade, 5983.579, 105, B04, S00, 1
B05, 62
B05, Trade, 191.842, 112, B05, S00, 1
B05, Trade, 250.579, 107, S03, B05, 1
B05, Trade, 312.316, 112, B05, S00, 1
B05, Trade, 399.158, 107, S03, B05, 1
B05, Trade, 501.368, 107, B05, S03, 1
B05, Trade, 644.316, 107, S03, B05, 1
B05, Trade, 711.000, 107, S03, B05, 1
B05, Trade, 750.211, 107, B05, S03, 1
B05, Trade, 788.789, 107, B05, S03, 1
B05, Trade, 842.211, 107, B05, S03, 1
B05, Trade, 907.474, 112, B05, S02, 1
B05, Trade, 964.105, 112, B05, S00, 1
B05, Trade, 982.579, 107, S03, B05, 1
B05, Trade, 1122.737, 107, S03, B05, 1
B05, Trade, 1159.368, 109, B05, S01, 1
B05, Trade, 1197.632, 107, S03, B05, 1
B05, Trade, 1227.211, 107, S03, B05, 1
B05, Trade, 1263.895, 109, B05, S03, 1
B05, Trade, 1324.316, 112, B05, S00, 1
B05, Trade, 1360.684, 106, S02, B05, 1
B05, Trade, 1428.789, 107, S03, B05, 1
B05, Trade, 1545.316, 107, S03, B05, 1
B05, Trade, 1704.684, 107, S03, B05, 1
B05, Trade, 1848.842, 107, S03, B05, 1
B05, Trade, 1956.789, 107, B05, S00, 1
B05, Trade, 2161.000, 109, B05, S00, 1
B05, Trade, 2218.158, 107, B05, S03, 1
B05, Trade, 2333.211, 112, B05, S00, 1
B05, Trade, 2415.632, 109, B05, S00, 1
B05, Trade, 2529.474, 107, B05, S00, 1
B05, Trade, 2682.105, 107, S01, B05, 1
B05, Trade, 2943.158, 112, B05, S02, 1
B05, Trade, 3277.895, 112, B05, S00, 1
B05, Trade, 3375.211, 112, B05, S02, 1
B05, Trade, 3588.737, 107, B05, S00, 1
B05, Trade, 3659.895, 109, B05, S00, 1
B05, Trade, 3805.895, 107, B05, S03, 1
B05, Trade, 4089.842, 107, B05, S00, 1
B05, Trade, 4107.158, 107, S03, B05, 1
B05, Trade, 4160.368, 111, S01, B05, 1
B05, Trade, 4221.053, 108, S01, B05, 1
B05, Trade, 4283.421, 109, B05, S03, 1
B05, Trade, 4391.895, 109, B05, S03, 1
B05, Trade, 4465.053, 107, S03, B05, 1
B05, Trade, 4557.263, 107, S03, B05, 1
B05, Trade, 4685.105, 112, B05, S03, 1
B05, Trade, 4723.526, 107, S03, B05, 1
B05, Trade, 4773.526, 107, S03, B05, 1
B05, Trade, 4856.526, 109, B05, S03, 1
B05, Trade, 4924.000, 107, S03, B05, 1
B05, Trade, 4990.895, 108, S01, B05, 1
B05, Trade, 5013.632, 109, B05, S00, 1
B05, Trade, 5097.000, 92, B05, S00, 1
B05, Trade, 5305.474, 109, B05, S03, 1
B05, Trade, 5425.895, 106, S02, B05, 1
B05, Trade, 5593.105, 112, B05, S00, 1
B05, Trade, 5661.105, 108, S01, B05, 1
B05, Trade, 5698.474, 107, S03, B05, 1
B05, Trade, 5766.316, 109, B05, S00, 1
B05, Trade, 5836.053, 112, B05, S03, 1
B05, Trade, 5900.632, 107, S03, B05, 1
B05, Trade, 5926.947, 107, S03, B05, 1
B06, 100
B06, Trade, 1423.053, 116, S02, B06, 1
B06, Trade, 1449.684, 107, S03, B06, 1
B06, Trade, 1461.316, 118, S02, B06, 1
B06, Trade, 1488.368, 114, B06, S03, 1
B06, Trade, 1520.158, 120, S01, B06, 1
B06, Trade, 1615.158, 117, B06, S03, 1
B06, Trade, 1629.737, 112, B06, S03, 1
B06, Trade, 1699.684, 120, S02, B06, 1
B06, Trade, 1760.895, 117, B06, S00, 1
B06, Trade, 1780.263, 114, B06, S03, 1
B06, Trade, 1837.632, 114, B06, S00, 1
B06, Trade, 1865.263, 120, B06, S01, 1
B06, Trade, 1930.053, 120, B06, S01, 1
B06, Trade, 1952.842, 115, S02, B06, 1
B06, Trade, 1987.789, 114, B06, S03, 1
B06, Trade, 2058.842, 112, S01, B06, 1
B06, Trade, 2100.105, 107, S03, B06, 1
B06, Trade, 2168.158, 120, S01, B06, 1
B06, Trade, 2188.474, 118, S02, B06, 1
B06, Trade, 2209.684, 114, S01, B06, 1
B06, Trade, 2251.053, 107, S03, B06, 1
B06, Trade, 2316.895, 112, B06, S00, 1
B06, Trade, 2341.789, 109, B06, S03, 1
B06, Trade, 2367.895, 112, B06, S00, 1
B06, Trade, 2412.211, 120, B06, S02, 1
B06, Trade, 2449.158, 109, B06, S00, 1
B06, Trade, 2541.947, 120, S04, B06, 1
B06, Trade, 2580.316, 107, S03, B06, 1
B06, Trade, 2630.579, 120, B06, S03, 1
B06, Trade, 2680.526, 109, B06, S03, 1
B06, Trade, 2689.947, 104, S02, B06, 1
B06, Trade, 2789.158, 117, B06, S02, 1
B06, Trade, 2851.737, 114, B06, S00, 1
B06, Trade, 2893.947, 120, S02, B06, 1
B06, Trade, 2945.895, 120, B06, S03, 1
B06, Trade, 2977.421, 112, B06, S03, 1
B06, Trade, 3032.842, 120, B06, S03, 1
B06, Trade, 3073.105, 109, B06, S00, 1
B06, Trade, 3097.263, 119, S01, B06, 1
B06, Trade, 3148.211, 107, S03, B06, 1
B06, Trade, 3192.368, 117, B06, S00, 1
B06, Trade, 3219.421, 118, S04, B06, 1
B06, Trade, 3222.789, 119, S01, B06, 1
B06, Trade, 3294.947, 117, B06, S03, 1
B06, Trade, 3361.105, 114, B06, S03, 1
B06, Trade, 3377.316, 109, B06, S00, 1
B06, Trade, 3475.789, 117, B06, S00, 1
B06, Trade, 3525.947, 120, B06, S00, 1
B06, Trade, 3533.474, 112, S02, B06, 1
B06, Trade, 3572.263, 112, S02, B06, 1
B06, Trade, 3626.526, 114, B06, S00, 1
B06, Trade, 3655.158, 117, B06, S03, 1
B06, Trade, 3690.211, 117, B06, S00, 1
B06, Trade, 3732.211, 120, S02, B06, 1
B06, Trade, 3759.632, 114, B06, S03, 1
B06, Trade, 3807.105, 112, B06, S00, 1
B06, Trade, 3897.053, 118, S04, B06, 1
B06, Trade, 3918.842, 109, B06, S01, 1
B06, Trade, 4000.842, 109, B06, S03, 1
B06, Trade, 4060.211, 117, B06, S03, 1
B06, Trade, 4094.263, 118, S01, B06, 1
B06, Trade, 4157.158, 111, S02, B06, 1
B06, Trade, 4199.000, 116, S02, B06, 1
B06, Trade, 4219.000, 107, S03, B06, 1
B06, Trade, 4285.263, 114, B06, S00, 1
B06, Trade, 4290.684, 120, B06, S02, 1
B06, Trade, 4340.632, 112, B06, S00, 1
B06, Trade, 4355.421, 120, B06, S01, 1
B06, Trade, 4390.421, 109, B06, S00, 1
B06, Trade, 4428.053, 114, B06, S03, 1
B06, Trade, 4511.263, 112, B06, S03, 1
B06, Trade, 4552.316, 120, S02, B06, 1
B06, Trade, 4640.000, 107, S03, B06, 1
B06, Trade, 4705.263, 119, S01, B06, 1
B06, Trade, 4768.316, 120, B06, S00, 1
B06, Trade, 4849.684, 118, S02, B06, 1
B06, Trade, 4912.263, 117, B06, S00, 1
B06, Trade, 4948.368, 112, B06, S00, 1
B06, Trade, 4989.895, 108, S02, B06, 1
B06, Trade, 4991.789, 107, S03, B06, 1
B06, Trade, 5051.263, 114, B06, S03, 1
B06, Trade, 5092.895, 107, S03, B06, 1
B06, Trade, 5098.737, 120, B06, S04, 1
B06, Trade, 5173.368, 109, B06, S00, 1
B06, Trade, 5231.789, 117, B06, S03, 1
B06, Trade, 5302.632, 114, B06, S02, 1
B06, Trade, 5367.632, 114, S02, B06, 1
B06, Trade, 5371.000, 114, S01, B06, 1
B06, Trade, 5409.895, 120, B06, S00, 1
B06, Trade, 5429.842, 106, S01, B06, 1
B06, Trade, 5473.474, 120, B06, S02, 1
B06, Trade, 5520.263, 114, B06, S00, 1
B06, Trade, 5560.000, 109, B06, S00, 1
B06, Trade, 5662.684, 110, S02, B06, 1
B06, Trade, 5725.105, 117, S01, B06, 1
B06, Trade, 5781.526, 114, B06, S00, 1
B06, Trade, 5830.211, 109, B06, S03, 1
B06, Trade, 5894.632, 109, B06, S03, 1
B06, Trade, 5928.895, 111, S02, B06, 1
B06, Trade, 5948.211, 114, B06, S00, 1
B07, 100
B07, Trade, 2669.263, 127, B07, S04, 1
B07, Trade, 2695.000, 110, B07, S00, 1
B07, Trade, 2761.579, 124, B07, S00, 1
B07, Trade, 2784.737, 113, B07, S03, 1
B07, Trade, 2822.737, 127, B07, S03, 1
B07, Trade, 2845.947, 123, B07, S03, 1
B07, Trade, 2886.421, 127, B07, S03, 1
B07, Trade, 2904.684, 127, B07, S03, 1
B07, Trade, 2964.632, 127, B07, S00, 1
B07, Trade, 3002.474, 123, B07, S03, 1
B07, Trade, 3014.263, 119, B07, S00, 1
B07, Trade, 3047.053, 123, S01, B07, 1
B07, Trade, 3064.000, 127, B07, S03, 1
B07, Trade, 3099.263, 113, B07, S03, 1
B07, Trade, 3116.947, 127, B07, S00, 1
B07, Trade, 3185.053, 127, B07, S03, 1
B07, Trade, 3209.158, 111, B07, S03, 1
B07, Trade, 3254.947, 127, B07, S02, 1
B07, Trade, 3278.789, 121, B07, S03, 1
B07, Trade, 3319.737, 126, B07, S02, 1
B07, Trade, 3376.737, 113, S01, B07, 1
B07, Trade, 3387.105, 127, B07, S04, 1
B07, Trade, 3432.842, 127, B07, S03, 1
B07, Trade, 3441.895, 118, B07, S00, 1
B07, Trade, 3492.789, 124, S01, B07, 1
B07, Trade, 3513.000, 126, B07, S03, 1
B07, Trade, 3543.474, 107, S03, B07, 1
B07, Trade, 3581.421, 127, B07, S03, 1
B07, Trade, 3608.263, 123, S01, B07, 1
B07, Trade, 3642.789, 126, S02, B07, 1
B07, Trade, 3655.053, 118, B07, S04, 1
B07, Trade, 3711.211, 127, B07, S00, 1
B07, Trade, 3733.211, 117, S01, B07, 1
B07, Trade, 3783.684, 124, B07, S03, 1
B07, Trade, 3822.000, 127, B07, S00, 1
B07, Trade, 3846.579, 127, B07, S03, 1
B07, Trade, 3856.263, 127, B07, S03, 1
B07, Trade, 3890.105, 121, B07, S02, 1
B07, Trade, 3927.158, 127, B07, S03, 1
B07, Trade, 3964.895, 127, B07, S00, 1
B07, Trade, 3996.368, 127, B07, S03, 1
B07, Trade, 4029.421, 110, B07, S00, 1
B07, Trade, 4053.737, 117, B07, S02, 1
B07, Trade, 4068.789, 108, B07, S02, 1
B07, Trade, 4151.737, 113, B07, S00, 1
B07, Trade, 4170.947, 111, B07, S00, 1
B07, Trade, 4201.211, 109, B07, S00, 1
B07, Trade, 4261.526, 127, B07, S02, 1
B07, Trade, 4270.053, 110, B07, S03, 1
B07, Trade, 4305.158, 127, B07, S04, 1
B07, Trade, 4328.895, 127, B07, S02, 1
B07, Trade, 4358.579, 118, S02, B07, 1
B07, Trade, 4381.053, 127, B07, S01, 1
B07, Trade, 4420.105, 125, B07, S02, 1
B07, Trade, 4450.526, 127, B07, S01, 1
B07, Trade, 4499.263, 123, S02, B07, 1
B07, Trade, 4526.368, 123, B07, S03, 1
B07, Trade, 4586.895, 127, B07, S03, 1
B07, Trade, 4609.211, 127, B07, S03, 1
B07, Trade, 4628.579, 115, B07, S00, 1
B07, Trade, 4658.105, 122, S01, B07, 1
B07, Trade, 4668.105, 121, S02, B07, 1
B07, Trade, 4696.158, 119, B07, S03, 1
B07, Trade, 4758.263, 124, S02, B07, 1
B07, Trade, 4785.158, 127, B07, S00, 1
B07, Trade, 4814.316, 122, B07, S03, 1
B07, Trade, 4843.579, 127, B07, S00, 1
B07, Trade, 4847.421, 117, B07, S00, 1
B07, Trade, 4903.842, 118, B07, S00, 1
B07, Trade, 4926.895, 111, S02, B07, 1
B07, Trade, 4940.421, 122, B07, S04, 1
B07, Trade, 4965.579, 115, S02, B07, 1
B07, Trade, 5022.263, 111, S01, B07, 1
B07, Trade, 5042.211, 119, B07, S01, 1
B07, Trade, 5085.632, 123, B07, S03, 1
B07, Trade, 5168.211, 116, B07, S03, 1
B07, Trade, 5210.368, 121, B07, S00, 1
B07, Trade, 5241.789, 109, B07, S03, 1
B07, Trade, 5278.105, 127, B07, S02, 1
B07, Trade, 5299.263, 118, B07, S00, 1
B07, Trade, 5349.526, 127, B07, S04, 1
B07, Trade, 5377.947, 115, B07, S03, 1
B07, Trade, 5407.947, 127, B07, S02, 1
B07, Trade, 5449.789, 125, B07, S03, 1
B07, Trade, 5463.789, 122, B07, S02, 1
B07, Trade, 5502.474, 127, B07, S00, 1
B07, Trade, 5533.632, 125, B07, S03, 1
B07, Trade, 5549.579, 117, B07, S03, 1
B07, Trade, 5580.947, 127, B07, S04, 1
B07, Trade, 5599.263, 119, S02, B07, 1
B07, Trade, 5626.000, 123, S01, B07, 1
B07, Trade, 5678.105, 127, B07, S02, 1
B07, Trade, 5696.632, 124, B07, S00, 1
B07, Trade, 5751.895, 124, B07, S02, 1
