B00, 100
B00, Trade, 299.683, 169, S05, B00, 1
B00, Trade, 368.585, 167, B00, S14, 1
B00, Trade, 379.073, 163, B00, S18, 1
B00, Trade, 409.756, 170, S14, B00, 1
B00, Trade, 419.244, 169, S01, B00, 1
B00, Trade, 425.805, 169, B00, S05, 1
B00, Trade, 468.756, 164, S19, B00, 1
B00, Trade, 487.854, 155, B00, S06, 1
B00, Trade, 529.756, 162, S11, B00, 1
B00, Trade, 550.195, 158, B00, S18, 1
B00, Trade, 588.878, 169, S13, B00, 1
B00, Trade, 598.317, 173, S06, B00, 1
B00, Trade, 609.195, 156, S05, B00, 1
B00, Trade, 719.512, 166, S04, B00, 1
B00, Trade, 744.780, 180, S07, B00, 1
B00, Trade, 746.122, 167, S10, B00, 1
B00, Trade, 769.317, 179, B00, S07, 1
B00, Trade, 784.512, 176, S05, B00, 1
B00, Trade, 811.341, 178, B00, S06, 1
B00, Trade, 865.293, 171, S01, B00, 1
B00, Trade, 874.659, 168, B00, S07, 1
B00, Trade, 927.927, 178, B00, S13, 1
B00, Trade, 937.220, 169, S05, B00, 1
B00, Trade, 1020.098, 179, S18, B00, 1
B00, Trade, 1022.610, 200, B00, S13, 1
B00, Trade, 1041.951, 175, S05, B00, 1
B00, Trade, 1167.707, 174, S04, B00, 1
B00, Trade, 1281.146, 166, B00, S02, 1
B00, Trade, 1369.195, 173, S06, B00, 1
B00, Trade, 1405.634, 160, S09, B00, 1
B00, Trade, 1444.146, 172, S05, B00, 1
B00, Trade, 1485.488, 166, B00, S06, 1
B00, Trade, 1509.000, 164, S17, B00, 1
B00, Trade, 1523.951, 175, S07, B00, 1
B00, Trade, 1535.878, 175, B00, S14, 1
B00, Trade, 1630.049, 171, S14, B00, 1
B00, Trade, 1691.683, 169, B00, S07, 1
B00, Trade, 1767.195, 171, S06, B00, 1
B00, Trade, 1788.878, 174, B00, S16, 1
B00, Trade, 1820.659, 172, S13, B00, 1
B00, Trade, 1840.146, 178, B00, S16, 1
B00, Trade, 1857.585, 158, S11, B00, 1
B00, Trade, 1862.634, 172, S06, B00, 1
B00, Trade, 1883.268, 162, S05, B00, 1
B00, Trade, 1906.732, 159, S07, B00, 1
B00, Trade, 1960.659, 165, S11, B00, 1
B00, Trade, 1967.293, 156, S18, B00, 1
B00, Trade, 1974.171, 168, S07, B00, 1
B00, Trade, 1996.317, 164, B00, S04, 1
B00, Trade, 2001.341, 154, B00, S19, 1
B00, Trade, 2020.537, 151, S14, B00, 1
B00, Trade, 2041.488, 158, S14, B00, 1
B00, Trade, 2104.756, 138, B00, S05, 1
B00, Trade, 2153.659, 145, S14, B00, 1
B00, Trade, 2219.244, 153, S17, B00, 1
B00, Trade, 2238.122, 152, S07, B00, 1
B00, Trade, 2269.049, 146, S14, B00, 1
B00, Trade, 2318.561, 152, B00, S18, 1
B00, Trade, 2326.951, 142, S07, B00, 1
B00, Trade, 2360.659, 149, S17, B00, 1
B00, Trade, 2393.707, 149, S15, B00, 1
B00, Trade, 2426.000, 144, S07, B00, 1
B00, Trade, 2446.512, 149, S13, B00, 1
B00, Trade, 2583.756, 131, S08, B00, 1
B00, Trade, 2669.488, 124, S14, B00, 1
B00, Trade, 2705.488, 130, S07, B00, 1
B00, Trade, 2709.756, 132, S01, B00, 1
B00, Trade, 2728.073, 125, B00, S11, 1
B00, Trade, 2783.854, 124, S06, B00, 1
B00, Trade, 2802.000, 124, B00, S11, 1
B00, Trade, 2831.073, 116, S11, B00, 1
B00, Trade, 2857.707, 112, B00, S04, 1
B00, Trade, 2875.927, 111, S05, B00, 1
B00, Trade, 2919.220, 114, B00, S01, 1
B00, Trade, 2929.488, 102, S17, B00, 1
B00, Trade, 2985.902, 110, S17, B00, 1
B00, Trade, 2992.488, 92, B00, S13, 1
B00, Trade, 3007.927, 107, S17, B00, 1
B00, Trade, 3043.780, 96, B00, S14, 1
B00, Trade, 3068.537, 107, B00, S12, 1
B00, Trade, 3120.293, 98, S01, B00, 1
B00, Trade, 3145.951, 115, S06, B00, 1
B00, Trade, 3166.073, 119, B00, S02, 1
B00, Trade, 3205.756, 117, B00, S06, 1
B00, Trade, 3215.780, 109, B00, S16, 1
B00, Trade, 3221.220, 130, B00, S13, 1
B00, Trade, 3318.244, 130, S05, B00, 1
B00, Trade, 3329.805, 135, S17, B00, 1
B00, Trade, 3349.073, 129, S00, B00, 1
B00, Trade, 3354.000, 130, S06, B00, 1
B00, Trade, 3389.049, 131, S13, B00, 1
B00, Trade, 3402.585, 135, S01, B00, 1
B00, Trade, 3440.805, 120, S13, B00, 1
B00, Trade, 3455.927, 125, S06, B00, 1
B00, Trade, 3469.439, 122, S14, B00, 1
B00, Trade, 3539.390, 121, S11, B00, 1
B00, Trade, 3553.659, 128, B00, S13, 1
B00, Trade, 3564.024, 115, B00, S12, 1
B00, Trade, 3584.561, 117, S00, B00, 1
B00, Trade, 3594.293, 125, S06, B00, 1
B01, 107
B01, Trade, 2.610, 155, B01, S01, 1
B01, Trade, 26.415, 155, B01, S16, 1
B01, Trade, 40.317, 160, B01, S15, 1
B01, Trade, 63.561, 163, B01, S01, 1
B01, Trade, 96.561, 163, B01, S13, 1
B01, Trade, 137.390, 162, B01, S11, 1
B01, Trade, 151.463, 165, B01, S19, 1
B01, Trade, 231.878, 161, B01, S01, 1
B01, Trade, 303.317, 163, S14, B01, 1
B01, Trade, 313.683, 152, B01, S17, 1
B01, Trade, 361.366, 160, B01, S11, 1
B01, Trade, 401.341, 155, B01, S17, 1
B01, Trade, 414.463, 158, S07, B01, 1
B01, Trade, 522.488, 155, B01, S17, 1
B01, Trade, 533.927, 151, B01, S07, 1
B01, Trade, 537.927, 141, B01, S14, 1
B01, Trade, 605.341, 158, B01, S01, 1
B01, Trade, 655.146, 151, B01, S06, 1
B01, Trade, 661.122, 150, B01, S09, 1
B01, Trade, 675.146, 158, B01, S10, 1
B01, Trade, 721.024, 160, B01, S14, 1
B01, Trade, 930.610, 168, B01, S10, 1
B01, Trade, 979.829, 173, B01, S01, 1
B01, Trade, 1079.146, 165, B01, S13, 1
B01, Trade, 1129.390, 170, B01, S16, 1
B01, Trade, 1204.341, 169, B01, S12, 1
B01, Trade, 1243.610, 170, B01, S13, 1
B01, Trade, 1257.122, 164, B01, S08, 1
B01, Trade, 1290.610, 173, B01, S06, 1
B01, Trade, 1317.927, 170, B01, S18, 1
B01, Trade, 1405.024, 171, S17, B01, 1
B01, Trade, 1486.878, 155, B01, S12, 1
B01, Trade, 1489.829, 168, B01, S01, 1
B01, Trade, 1505.439, 162, B01, S07, 1
B01, Trade, 1575.293, 158, B01, S03, 1
B01, Trade, 1649.415, 172, B01, S07, 1
B01, Trade, 1712.829, 161, B01, S07, 1
B01, Trade, 1719.951, 162, S06, B01, 1
B01, Trade, 1777.122, 166, S13, B01, 1
B01, Trade, 1783.561, 165, B01, S17, 1
B01, Trade, 1817.049, 165, B01, S16, 1
B01, Trade, 1878.756, 161, B01, S08, 1
B01, Trade, 1949.756, 152, B01, S12, 1
B01, Trade, 1954.537, 163, B01, S05, 1
B01, Trade, 2005.463, 157, S00, B01, 1
B01, Trade, 2020.098, 148, B01, S03, 1
B01, Trade, 2024.439, 158, B01, S06, 1
B01, Trade, 2083.244, 136, B01, S17, 1
B01, Trade, 2089.732, 136, B01, S12, 1
B01, Trade, 2098.780, 140, B01, S14, 1
B01, Trade, 2151.463, 134, B01, S17, 1
B01, Trade, 2198.659, 139, B01, S11, 1
B01, Trade, 2275.488, 146, S06, B01, 1
B01, Trade, 2329.537, 140, B01, S14, 1
B01, Trade, 2383.829, 146, S14, B01, 1
B01, Trade, 2391.707, 147, B01, S19, 1
B01, Trade, 2424.073, 144, S14, B01, 1
B01, Trade, 2479.024, 130, B01, S00, 1
