B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 1
B05, Trade, 3.907, 72, B05, S01, 1
B06, 0
B07, 0
B08, 1
B08, Trade, 1039.326, 86, B08, S05, 1
B09, 7
B09, Trade, 65.465, 90, B09, S02, 1
B09, Trade, 172.605, 90, B09, S02, 1
B09, Trade, 406.186, 87, B09, S02, 1
B09, Trade, 585.581, 90, B09, S02, 1
B09, Trade, 661.442, 87, B09, S00, 1
B09, Trade, 786.000, 90, B09, S02, 1
B09, Trade, 1038.953, 90, B09, S00, 1
B10, 28
B10, Trade, 40.349, 95, B10, S08, 1
B10, Trade, 44.581, 95, B10, S08, 1
B10, Trade, 103.442, 95, B10, S02, 1
B10, Trade, 172.581, 95, B10, S00, 1
B10, Trade, 215.605, 95, B10, S08, 1
B10, Trade, 266.558, 95, B10, S02, 1
B10, Trade, 378.721, 95, B10, S08, 1
B10, Trade, 383.442, 95, B10, S00, 1
B10, Trade, 397.651, 95, B10, S02, 1
B10, Trade, 462.674, 95, B10, S08, 1
B10, Trade, 527.581, 95, B10, S00, 1
B10, Trade, 560.605, 95, B10, S02, 1
B10, Trade, 579.953, 95, B10, S08, 1
B10, Trade, 638.488, 95, B10, S05, 1
B10, Trade, 659.070, 95, B10, S02, 1
B10, Trade, 721.744, 95, B10, S00, 1
B10, Trade, 743.512, 95, B10, S08, 1
B10, Trade, 785.093, 95, B10, S06, 1
B10, Trade, 800.372, 95, B10, S00, 1
B10, Trade, 843.442, 95, B10, S08, 1
B10, Trade, 942.070, 95, B10, S03, 1
B10, Trade, 969.744, 95, B10, S02, 1
B10, Trade, 995.907, 95, B10, S00, 1
B10, Trade, 1036.558, 95, B10, S08, 1
B10, Trade, 1094.000, 95, B10, S05, 1
B10, Trade, 1120.837, 95, B10, S00, 1
B10, Trade, 1160.186, 95, B10, S08, 1
B10, Trade, 1193.186, 95, B10, S08, 1
B11, 67
B11, Trade, 5.977, 100, B11, S00, 1
B11, Trade, 43.698, 100, B11, S01, 1
B11, Trade, 67.744, 100, B11, S00, 1
B11, Trade, 102.791, 100, B11, S00, 1
B11, Trade, 126.442, 100, B11, S05, 1
B11, Trade, 139.930, 100, B11, S08, 1
B11, Trade, 144.953, 100, B11, S02, 1
B11, Trade, 169.302, 100, B11, S08, 1
B11, Trade, 213.465, 100, B11, S03, 1
