B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 3
B06, Trade, 176.512, 80, B06, S02, 1
B06, Trade, 331.122, 80, B06, S00, 1
B06, Trade, 418.537, 80, B06, S03, 1
B07, 10
B07, Trade, 20.780, 82, B07, S03, 1
B07, Trade, 100.902, 82, B07, S05, 1
B07, Trade, 175.561, 82, B07, S05, 1
B07, Trade, 195.415, 81, B07, S05, 1
B07, Trade, 534.610, 83, B07, S00, 1
B07, Trade, 684.171, 83, B07, S03, 1
B07, Trade, 817.317, 84, B07, S04, 1
B07, Trade, 848.829, 84, B07, S05, 1
B07, Trade, 884.902, 84, B07, S05, 1
B07, Trade, 1162.073, 84, B07, S05, 1
B08, 29
B08, Trade, 11.780, 90, B08, S03, 1
B08, Trade, 148.902, 90, B08, S02, 1
B08, Trade, 152.049, 90, B08, S03, 1
B08, Trade, 173.341, 90, B08, S01, 1
B08, Trade, 224.634, 90, B08, S01, 1
B08, Trade, 276.829, 90, B08, S04, 1
B08, Trade, 330.634, 90, B08, S02, 1
B08, Trade, 360.317, 90, B08, S05, 1
B08, Trade, 365.829, 90, B08, S04, 1
B08, Trade, 455.927, 90, B08, S03, 1
B08, Trade, 479.195, 90, B08, S00, 1
B08, Trade, 513.415, 90, B08, S03, 1
B08, Trade, 533.927, 90, B08, S02, 1
B08, Trade, 598.854, 90, B08, S00, 1
B08, Trade, 662.098, 83, B08, S01, 1
B08, Trade, 667.756, 90, B08, S04, 1
B08, Trade, 696.780, 90, B08, S05, 1
B08, Trade, 744.268, 90, B08, S05, 1
B08, Trade, 768.902, 90, B08, S04, 1
B08, Trade, 817.268, 90, B08, S05, 1
B08, Trade, 831.317, 90, B08, S03, 1
B08, Trade, 847.415, 90, B08, S04, 1
B08, Trade, 863.439, 90, B08, S03, 1
B08, Trade, 884.854, 90, B08, S04, 1
B08, Trade, 938.341, 90, B08, S02, 1
B08, Trade, 972.610, 90, B08, S02, 1
B08, Trade, 1042.073, 90, B08, S04, 1
B08, Trade, 1064.976, 90, B08, S00, 1
B08, Trade, 1129.220, 90, B08, S05, 1
B09, 6
B09, Trade, 152.878, 89, B09, S04, 1
B09, Trade, 338.268, 95, B09, S03, 1
B09, Trade, 720.268, 93, B09, S03, 1
B09, Trade, 764.220, 84, B09, S03, 1
B09, Trade, 983.244, 87, B09, S05, 1
B09, Trade, 1101.634, 95, S06, B09, 1
B10, 70
B10, Trade, 19.659, 99, B10, S02, 1
B10, Trade, 36.049, 99, B10, S05, 1
B10, Trade, 65.122, 99, B10, S04, 1
B10, Trade, 100.171, 99, B10, S03, 1
B10, Trade, 106.317, 97, B10, S03, 1
B10, Trade, 120.000, 99, B10, S02, 1
B10, Trade, 130.732, 99, B10, S01, 1
B10, Trade, 148.146, 99, B10, S05, 1
B10, Trade, 151.634, 93, B10, S01, 1
B10, Trade, 172.805, 98, B10, S09, 1
B10, Trade, 194.463, 99, B10, S03, 1
B10, Trade, 208.244, 97, B10, S04, 1
B10, Trade, 223.098, 99, B10, S05, 1
B10, Trade, 232.976, 98, B10, S02, 1
B10, Trade, 276.390, 99, B10, S01, 1
B10, Trade, 279.220, 96, B10, S03, 1
B10, Trade, 294.805, 99, B10, S00, 1
B10, Trade, 302.488, 98, B10, S02, 1
B10, Trade, 316.390, 99, B10, S05, 1
B10, Trade, 329.634, 99, B10, S03, 1
B10, Trade, 335.976, 96, B10, S05, 1
B10, Trade, 350.268, 99, B10, S03, 1
B10, Trade, 365.585, 99, B10, S02, 1
B10, Trade, 377.268, 99, B10, S03, 1
B10, Trade, 392.512, 99, B10, S05, 1
B10, Trade, 401.220, 99, B10, S05, 1
B10, Trade, 418.463, 99, B10, S04, 1
B10, Trade, 425.756, 98, B10, S05, 1
B10, Trade, 442.390, 99, B10, S02, 1
B10, Trade, 453.146, 99, B10, S02, 1
B10, Trade, 477.829, 99, B10, S05, 1
B10, Trade, 502.878, 98, B10, S01, 1
B10, Trade, 510.000, 98, B10, S03, 1
B10, Trade, 541.000, 98, B10, S01, 1
B10, Trade, 567.707, 99, B10, S03, 1
B10, Trade, 596.732, 97, S04, B10, 1
B10, Trade, 611.146, 97, B10, S00, 1
B10, Trade, 632.756, 99, B10, S05, 1
B10, Trade, 643.244, 98, B10, S00, 1
B10, Trade, 659.439, 97, B10, S03, 1
B10, Trade, 675.854, 90, S04, B10, 1
B10, Trade, 696.366, 99, B10, S06, 1
B10, Trade, 717.878, 99, B10, S02, 1
B10, Trade, 744.195, 99, B10, S01, 1
B10, Trade, 762.561, 99, B10, S00, 1
B10, Trade, 768.024, 99, B10, S03, 1
B10, Trade, 786.512, 99, B10, S06, 1
B10, Trade, 817.171, 99, B10, S02, 1
B10, Trade, 831.146, 98, B10, S04, 1
B10, Trade, 836.707, 96, B10, S03, 1
B10, Trade, 853.171, 96, B10, S00, 1
B10, Trade, 863.122, 99, B10, S02, 1
B10, Trade, 884.244, 99, B10, S00, 1
B10, Trade, 909.341, 99, B10, S03, 1
B10, Trade, 914.220, 99, B10, S01, 1
B10, Trade, 938.293, 99, B10, S01, 1
B10, Trade, 972.000, 99, B10, S03, 1
B10, Trade, 983.000, 99, B10, S04, 1
B10, Trade, 999.854, 99, B10, S04, 1
B10, Trade, 1005.024, 98, B10, S05, 1
B10, Trade, 1028.756, 99, B10, S01, 1
B10, Trade, 1044.537, 98, B10, S03, 1
B10, Trade, 1080.366, 99, B10, S03, 1
B10, Trade, 1096.659, 95, B10, S06, 1
B10, Trade, 1132.732, 94, B10, S01, 1
B10, Trade, 1151.415, 99, B10, S06, 1
B10, Trade, 1154.268, 99, B10, S05, 1
B10, Trade, 1167.122, 97, B10, S05, 1
B10, Trade, 1178.293, 97, B10, S00, 1
B10, Trade, 1194.293, 98, B10, S05, 1
B11, 100
B11, Trade, 153.829, 102, S10, B11, 1
B11, Trade, 169.902, 105, B11, S04, 1
B11, Trade, 177.024, 105, B11, S08, 1
B11, Trade, 190.854, 102, S07, B11, 1
B11, Trade, 196.878, 96, S08, B11, 1
B11, Trade, 207.268, 105, B11, S00, 1
B11, Trade, 213.756, 105, B11, S10, 1
B11, Trade, 233.732, 105, B11, S03, 1
B11, Trade, 241.561, 102, S10, B11, 1
B11, Trade, 251.683, 105, B11, S01, 1
B11, Trade, 271.293, 105, B11, S00, 1
B11, Trade, 281.610, 105, B11, S10, 1
B11, Trade, 287.463, 105, B11, S08, 1
B11, Trade, 296.854, 99, S07, B11, 1
B11, Trade, 307.293, 101, S07, B11, 1
B11, Trade, 321.488, 103, S08, B11, 1
B11, Trade, 331.951, 105, B11, S02, 1
B11, Trade, 337.805, 97, S07, B11, 1
B11, Trade, 350.512, 104, S10, B11, 1
B11, Trade, 355.317, 105, B11, S07, 1
B11, Trade, 370.732, 102, S10, B11, 1
B11, Trade, 377.732, 105, B11, S02, 1
B11, Trade, 387.585, 101, S07, B11, 1
B11, Trade, 396.561, 100, S08, B11, 1
B11, Trade, 403.463, 101, S09, B11, 1
B11, Trade, 415.780, 105, B11, S08, 1
B11, Trade, 427.439, 99, S09, B11, 1
B11, Trade, 434.585, 103, S09, B11, 1
B11, Trade, 451.756, 105, B11, S07, 1
B11, Trade, 456.317, 101, S07, B11, 1
B11, Trade, 467.439, 104, S06, B11, 1
B11, Trade, 475.195, 105, B11, S03, 1
B11, Trade, 488.049, 105, B11, S06, 1
B11, Trade, 502.098, 105, B11, S00, 1
B11, Trade, 503.854, 105, S10, B11, 1
B11, Trade, 521.561, 105, B11, S05, 1
B11, Trade, 535.463, 104, S08, B11, 1
B11, Trade, 550.976, 105, B11, S03, 1
B11, Trade, 565.146, 105, B11, S03, 1
B11, Trade, 573.293, 105, S08, B11, 1
B11, Trade, 584.293, 105, B11, S02, 1
B11, Trade, 594.024, 105, B11, S05, 1
B11, Trade, 598.488, 105, B11, S03, 1
B11, Trade, 611.951, 105, B11, S05, 1
B11, Trade, 623.561, 105, B11, S03, 1
B11, Trade, 630.902, 105, B11, S04, 1
B11, Trade, 641.976, 99, S06, B11, 1
B11, Trade, 651.415, 105, B11, S00, 1
B11, Trade, 662.122, 96, S07, B11, 1
B11, Trade, 667.000, 102, S10, B11, 1
B11, Trade, 673.171, 101, S09, B11, 1
B11, Trade, 686.220, 102, S10, B11, 1
B11, Trade, 698.829, 97, S07, B11, 1
B11, Trade, 709.537, 105, B11, S05, 1
B11, Trade, 719.171, 105, B11, S07, 1
B11, Trade, 727.976, 105, B11, S05, 1
B11, Trade, 742.732, 105, B11, S04, 1
B11, Trade, 750.415, 101, S07, B11, 1
B11, Trade, 757.268, 104, S10, B11, 1
B11, Trade, 772.390, 99, S08, B11, 1
B11, Trade, 783.854, 105, B11, S10, 1
B11, Trade, 796.244, 105, B11, S00, 1
B11, Trade, 799.829, 104, S10, B11, 1
B11, Trade, 816.878, 105, B11, S03, 1
B11, Trade, 832.122, 99, S09, B11, 1
B11, Trade, 836.171, 99, S06, B11, 1
B11, Trade, 849.585, 101, S08, B11, 1
B11, Trade, 855.561, 102, S10, B11, 1
B11, Trade, 866.463, 99, S08, B11, 1
B11, Trade, 886.098, 101, S07, B11, 1
B11, Trade, 893.488, 103, S10, B11, 1
B11, Trade, 905.439, 105, B11, S04, 1
B11, Trade, 912.927, 105, B11, S06, 1
B11, Trade, 924.707, 105, B11, S03, 1
B11, Trade, 927.098, 105, B11, S05, 1
B11, Trade, 946.341, 104, S10, B11, 1
B11, Trade, 953.512, 103, S10, B11, 1
B11, Trade, 961.049, 105, B11, S00, 1
B11, Trade, 968.390, 105, B11, S10, 1
B11, Trade, 987.927, 99, S06, B11, 1
B11, Trade, 1005.268, 100, S08, B11, 1
B11, Trade, 1015.512, 105, B11, S06, 1
B11, Trade, 1020.634, 105, S07, B11, 1
B11, Trade, 1027.049, 105, S08, B11, 1
B11, Trade, 1045.390, 103, S08, B11, 1
B11, Trade, 1049.927, 105, B11, S05, 1
B11, Trade, 1061.122, 105, B11, S07, 1
B11, Trade, 1071.902, 100, S07, B11, 1
B11, Trade, 1082.024, 104, S07, B11, 1
B11, Trade, 1085.780, 96, S08, B11, 1
B11, Trade, 1102.049, 96, S08, B11, 1
B11, Trade, 1112.122, 103, S10, B11, 1
B11, Trade, 1125.049, 105, B11, S03, 1
B11, Trade, 1138.220, 97, S09, B11, 1
B11, Trade, 1144.463, 102, S10, B11, 1
B11, Trade, 1158.585, 105, B11, S03, 1
B11, Trade, 1162.805, 101, S08, B11, 1
B11, Trade, 1173.780, 105, B11, S00, 1
B11, Trade, 1187.829, 105, B11, S07, 1
B11, Trade, 1189.512, 105, B11, S08, 1
B12, 100
B12, Trade, 119.805, 101, B12, S07, 1
B12, Trade, 130.024, 110, B12, S05, 1
B12, Trade, 140.683, 106, B12, S04, 1
B12, Trade, 145.878, 101, B12, S03, 1
B12, Trade, 158.390, 96, B12, S06, 1
B12, Trade, 168.829, 107, B12, S05, 1
B12, Trade, 184.854, 106, S10, B12, 1
B12, Trade, 190.171, 101, B12, S01, 1
B12, Trade, 201.098, 99, B12, S04, 1
B12, Trade, 210.976, 102, B12, S05, 1
B12, Trade, 219.366, 102, B12, S02, 1
B12, Trade, 232.707, 106, B12, S08, 1
B12, Trade, 242.415, 99, B12, S05, 1
B12, Trade, 260.659, 110, B12, S10, 1
B12, Trade, 270.073, 108, B12, S02, 1
B12, Trade, 280.610, 94, S06, B12, 1
B12, Trade, 292.220, 107, B12, S01, 1
B12, Trade, 295.659, 99, B12, S05, 1
B12, Trade, 311.756, 103, S10, B12, 1
B12, Trade, 313.732, 106, B12, S02, 1
B12, Trade, 330.537, 91, B12, S05, 1
B12, Trade, 335.927, 97, B12, S09, 1
B12, Trade, 347.854, 104, S07, B12, 1
B12, Trade, 356.610, 104, B12, S03, 1
B12, Trade, 369.780, 102, B12, S03, 1
B12, Trade, 379.683, 93, B12, S04, 1
B12, Trade, 387.976, 101, B12, S01, 1
B12, Trade, 394.415, 98, B12, S03, 1
B12, Trade, 411.805, 110, B12, S06, 1
B12, Trade, 424.707, 99, B12, S07, 1
B12, Trade, 434.317, 103, B12, S06, 1
B12, Trade, 445.244, 100, B12, S08, 1
B12, Trade, 469.659, 100, B12, S01, 1
B12, Trade, 477.415, 102, S06, B12, 1
B12, Trade, 496.366, 110, B12, S10, 1
B12, Trade, 505.073, 103, B12, S02, 1
B12, Trade, 519.732, 107, S11, B12, 1
B12, Trade, 530.659, 109, B12, S11, 1
B12, Trade, 539.171, 100, B12, S01, 1
B12, Trade, 551.756, 104, S08, B12, 1
B12, Trade, 556.341, 104, B12, S01, 1
B12, Trade, 573.805, 105, B12, S10, 1
B12, Trade, 578.854, 109, B12, S03, 1
B12, Trade, 586.780, 109, S10, B12, 1
B12, Trade, 595.610, 101, B12, S03, 1
B12, Trade, 606.146, 101, B12, S03, 1
B12, Trade, 619.439, 110, B12, S11, 1
B12, Trade, 634.098, 103, B12, S02, 1
B12, Trade, 639.537, 94, B12, S00, 1
B12, Trade, 644.634, 102, B12, S08, 1
B12, Trade, 654.683, 100, B12, S00, 1
B12, Trade, 674.293, 101, B12, S05, 1
B12, Trade, 682.878, 99, B12, S02, 1
B12, Trade, 693.829, 100, B12, S06, 1
B12, Trade, 704.610, 101, B12, S04, 1
B12, Trade, 712.610, 106, B12, S06, 1
B12, Trade, 723.732, 96, B12, S04, 1
B12, Trade, 725.805, 97, B12, S04, 1
B12, Trade, 735.927, 107, B12, S02, 1
B12, Trade, 751.073, 101, B12, S06, 1
B12, Trade, 762.122, 110, B12, S01, 1
B12, Trade, 767.366, 105, B12, S06, 1
B12, Trade, 777.634, 104, S09, B12, 1
B12, Trade, 790.268, 105, B12, S00, 1
B12, Trade, 800.220, 105, S06, B12, 1
B12, Trade, 810.951, 110, B12, S08, 1
B12, Trade, 822.366, 106, B12, S08, 1
B12, Trade, 829.024, 100, S06, B12, 1
B12, Trade, 842.390, 98, S09, B12, 1
B12, Trade, 856.732, 100, B12, S06, 1
B12, Trade, 864.463, 95, B12, S01, 1
B12, Trade, 868.610, 98, S06, B12, 1
B12, Trade, 880.244, 110, B12, S02, 1
B12, Trade, 897.293, 102, B12, S08, 1
B12, Trade, 900.220, 102, B12, S00, 1
B12, Trade, 909.024, 104, B12, S07, 1
B12, Trade, 918.561, 105, B12, S01, 1
B12, Trade, 930.024, 106, B12, S09, 1
B12, Trade, 944.000, 103, B12, S03, 1
B12, Trade, 959.024, 110, B12, S11, 1
