virtual_time,trader_id,trader_type,balance
601.20,B00,SHVR,0.0
601.20,B01,GVWY,0.0
601.20,B02,ZIC,0.0
601.20,B03,ZIP,0.0
601.20,B04,GA,13.0
601.20,B05,ZIP,4.0
601.20,B06,GVWY,0.0
601.20,B07,ZIC,8.0
601.20,B08,GA,97.0
601.20,B09,SHVR,305.0
601.20,B10,GA,314.0
601.20,S00,ZIC,411.0
601.20,S01,GVWY,476.0
601.20,S02,ZIP,501.0
601.20,S03,SHVR,234.0
601.20,S04,ZIC,0.0
601.20,S05,GVWY,14.0
601.20,S06,SHVR,0.0
601.20,S07,ZIP,0.0
1203.01,B00,SHVR,0.0
1203.01,B01,GVWY,0.0
1203.01,B02,ZIC,0.0
1203.01,B03,ZIP,0.0
1203.01,B04,GA,13.0
1203.01,B05,ZIP,21.0
1203.01,B06,GVWY,0.0
1203.01,B07,ZIC,45.0
1203.01,B08,GA,183.0
1203.01,B09,SHVR,620.0
1203.01,B10,GA,633.0
1203.01,S00,ZIC,966.0
1203.01,S01,GVWY,1061.0
1203.01,S02,ZIP,1001.0
1203.01,S03,SHVR,431.0
1203.01,S04,ZIC,12.0
1203.01,S05,GVWY,29.0
1203.01,S06,SHVR,0.0
1203.01,S07,ZIP,0.0
1807.53,B00,SHVR,0.0
1807.53,B01,GVWY,0.0
1807.53,B02,ZIC,0.0
1807.53,B03,ZIP,0.0
1807.53,B04,GA,17.0
1807.53,B05,ZIP,31.0
1807.53,B06,GVWY,0.0
1807.53,B07,ZIC,46.0
1807.53,B08,GA,296.0
1807.53,B09,SHVR,978.0
1807.53,B10,GA,957.0
1807.53,S00,ZIC,1407.0
1807.53,S01,GVWY,1583.0
1807.53,S02,ZIP,1551.0
1807.53,S03,SHVR,607.0
1807.53,S04,ZIC,12.0
1807.53,S05,GVWY,51.0
1807.53,S06,SHVR,0.0
1807.53,S07,ZIP,0.0
2409.64,B00,SHVR,0.0
2409.64,B01,GVWY,0.0
2409.64,B02,ZIC,0.0
2409.64,B03,ZIP,0.0
2409.64,B04,GA,27.0
2409.64,B05,ZIP,34.0
2409.64,B06,GVWY,0.0
2409.64,B07,ZIC,46.0
2409.64,B08,GA,422.0
2409.64,B09,SHVR,1296.0
2409.64,B10,GA,1289.0
2409.64,S00,ZIC,1728.0
2409.64,S01,GVWY,2155.0
2409.64,S02,ZIP,2028.0
2409.64,S03,SHVR,854.0
2409.64,S04,ZIC,12.0
2409.64,S05,GVWY,51.0
2409.64,S06,SHVR,0.0
2409.64,S07,ZIP,0.0
3012.19,B00,SHVR,0.0
3012.19,B01,GVWY,0.0
3012.19,B02,ZIC,0.0
3012.19,B03,ZIP,0.0
3012.19,B04,GA,27.0
3012.19,B05,ZIP,71.0
3012.19,B06,GVWY,13.0
3012.19,B07,ZIC,61.0
3012.19,B08,GA,575.0
3012.19,B09,SHVR,1668.0
3012.19,B10,GA,1627.0
3012.19,S00,ZIC,2273.0
3012.19,S01,GVWY,2636.0
3012.19,S02,ZIP,2545.0
3012.19,S03,SHVR,997.0
3012.19,S04,ZIC,32.0
3012.19,S05,GVWY,73.0
3012.19,S06,SHVR,0.0
3012.19,S07,ZIP,0.0
3612.21,B00,SHVR,0.0
3612.21,B01,GVWY,0.0
3612.21,B02,ZIC,0.0
3612.21,B03,ZIP,0.0
3612.21,B04,GA,31.0
3612.21,B05,ZIP,97.0
3612.21,B06,GVWY,21.0
3612.21,B07,ZIC,88.0
3612.21,B08,GA,696.0
3612.21,B09,SHVR,2063.0
3612.21,B10,GA,1989.0
3612.21,S00,ZIC,2733.0
3612.21,S01,GVWY,3144.0
3612.21,S02,ZIP,2963.0
3612.21,S03,SHVR,1157.0
3612.21,S04,ZIC,32.0
3612.21,S05,GVWY,90.0
3612.21,S06,SHVR,0.0
3612.21,S07,ZIP,0.0
4212.66,B00,SHVR,0.0
4212.66,B01,GVWY,0.0
4212.66,B02,ZIC,0.0
4212.66,B03,ZIP,0.0
4212.66,B04,GA,31.0
4212.66,B05,ZIP,115.0
4212.66,B06,GVWY,36.0
4212.66,B07,ZIC,107.0
4212.66,B08,GA,830.0
4212.66,B09,SHVR,2435.0
4212.66,B10,GA,2313.0
4212.66,S00,ZIC,3124.0
4212.66,S01,GVWY,3689.0
4212.66,S02,ZIP,3431.0
4212.66,S03,SHVR,1280.0
4212.66,S04,ZIC,96.0
4212.66,S05,GVWY,127.0
4212.66,S06,SHVR,0.0
4212.66,S07,ZIP,0.0
4817.44,B00,SHVR,0.0
4817.44,B01,GVWY,0.0
4817.44,B02,ZIC,0.0
4817.44,B03,ZIP,0.0
4817.44,B04,GA,31.0
4817.44,B05,ZIP,137.0
4817.44,B06,GVWY,39.0
4817.44,B07,ZIC,130.0
4817.44,B08,GA,955.0
4817.44,B09,SHVR,2765.0
4817.44,B10,GA,2653.0
4817.44,S00,ZIC,3561.0
4817.44,S01,GVWY,4194.0
4817.44,S02,ZIP,3931.0
4817.44,S03,SHVR,1475.0
4817.44,S04,ZIC,102.0
4817.44,S05,GVWY,127.0
4817.44,S06,SHVR,0.0
4817.44,S07,ZIP,0.0
5423.51,B00,SHVR,0.0
5423.51,B01,GVWY,0.0
5423.51,B02,ZIC,0.0
5423.51,B03,ZIP,0.0
5423.51,B04,GA,31.0
5423.51,B05,ZIP,153.0
5423.51,B06,GVWY,45.0
5423.51,B07,ZIC,130.0
5423.51,B08,GA,1098.0
5423.51,B09,SHVR,3116.0
