virtual_time,trader_id,trader_type,balance
120.26,B00,GVWY,0.0
120.26,B01,SHVR,0.0
120.26,B02,ZIC,0.0
120.26,B03,RL,0.0
120.26,B04,RL,0.0
120.26,B05,ZIP,6.0
120.26,B06,SHVR,1.0
120.26,B07,GVWY,11.0
120.26,B08,ZIC,25.0
120.26,B09,ZIP,45.0
120.26,B10,RL,62.0
120.26,S00,ZIP,128.0
120.26,S01,ZIP,109.0
120.26,S02,ZIC,88.0
120.26,S03,ZIC,58.0
120.26,S04,SHVR,0.0
120.26,S05,SHVR,15.0
120.26,S06,GVWY,0.0
120.26,S07,GVWY,0.0
241.21,B00,GVWY,0.0
241.21,B01,SHVR,0.0
241.21,B02,ZIC,0.0
241.21,B03,RL,0.0
241.21,B04,RL,0.0
241.21,B05,ZIP,6.0
241.21,B06,SHVR,1.0
241.21,B07,GVWY,12.0
241.21,B08,ZIC,60.0
241.21,B09,ZIP,80.0
241.21,B10,RL,124.0
241.21,S00,ZIP,341.0
241.21,S01,ZIP,282.0
241.21,S02,ZIC,182.0
241.21,S03,ZIC,93.0
241.21,S04,SHVR,0.0
241.21,S05,SHVR,15.0
241.21,S06,GVWY,0.0
241.21,S07,GVWY,0.0
361.67,B00,GVWY,0.0
361.67,B01,SHVR,0.0
361.67,B02,ZIC,0.0
361.67,B03,RL,0.0
361.67,B04,RL,0.0
361.67,B05,ZIP,6.0
361.67,B06,SHVR,1.0
361.67,B07,GVWY,12.0
361.67,B08,ZIC,63.0
361.67,B09,ZIP,164.0
361.67,B10,RL,202.0
361.67,S00,ZIP,508.0
361.67,S01,ZIP,374.0
361.67,S02,ZIC,333.0
361.67,S03,ZIC,188.0
361.67,S04,SHVR,0.0
361.67,S05,SHVR,15.0
361.67,S06,GVWY,0.0
361.67,S07,GVWY,0.0
482.45,B00,GVWY,0.0
482.45,B01,SHVR,0.0
482.45,B02,ZIC,0.0
482.45,B03,RL,0.0
482.45,B04,RL,0.0
482.45,B05,ZIP,6.0
482.45,B06,SHVR,1.0
482.45,B07,GVWY,17.0
482.45,B08,ZIC,116.0
482.45,B09,ZIP,262.0
482.45,B10,RL,293.0
482.45,S00,ZIP,764.0
482.45,S01,ZIP,622.0
482.45,S02,ZIC,447.0
482.45,S03,ZIC,254.0
482.45,S04,SHVR,0.0
482.45,S05,SHVR,15.0
482.45,S06,GVWY,0.0
482.45,S07,GVWY,0.0
602.91,B00,GVWY,0.0
602.91,B01,SHVR,0.0
602.91,B02,ZIC,0.0
602.91,B03,RL,0.0
602.91,B04,RL,0.0
602.91,B05,ZIP,6.0
602.91,B06,SHVR,1.0
602.91,B07,GVWY,17.0
602.91,B08,ZIC,126.0
602.91,B09,ZIP,306.0
602.91,B10,RL,365.0
602.91,S00,ZIP,928.0
602.91,S01,ZIP,712.0
602.91,S02,ZIC,548.0
602.91,S03,ZIC,328.0
602.91,S04,SHVR,0.0
602.91,S05,SHVR,15.0
602.91,S06,GVWY,0.0
602.91,S07,GVWY,0.0
723.52,B00,GVWY,0.0
723.52,B01,SHVR,0.0
723.52,B02,ZIC,0.0
723.52,B03,RL,0.0
723.52,B04,RL,0.0
723.52,B05,ZIP,6.0
723.52,B06,SHVR,1.0
723.52,B07,GVWY,17.0
723.52,B08,ZIC,146.0
723.52,B09,ZIP,392.0
723.52,B10,RL,425.0
723.52,S00,ZIP,1134.0
723.52,S01,ZIP,893.0
723.52,S02,ZIC,670.0
723.52,S03,ZIC,401.0
723.52,S04,SHVR,0.0
723.52,S05,SHVR,15.0
723.52,S06,GVWY,0.0
723.52,S07,GVWY,0.0
844.42,B00,GVWY,0.0
844.42,B01,SHVR,0.0
844.42,B02,ZIC,0.0
844.42,B03,RL,0.0
844.42,B04,RL,0.0
844.42,B05,ZIP,6.0
844.42,B06,SHVR,1.0
844.42,B07,GVWY,17.0
844.42,B08,ZIC,159.0
844.42,B09,ZIP,432.0
844.42,B10,RL,530.0
844.42,S00,ZIP,1297.0
844.42,S01,ZIP,1067.0
844.42,S02,ZIC,756.0
844.42,S03,ZIC,471.0
844.42,S04,SHVR,0.0
844.42,S05,SHVR,15.0
844.42,S06,GVWY,0.0
844.42,S07,GVWY,0.0
965.08,B00,GVWY,0.0
965.08,B01,SHVR,0.0
965.08,B02,ZIC,0.0
965.08,B03,RL,0.0
965.08,B04,RL,0.0
965.08,B05,ZIP,6.0
965.08,B06,SHVR,1.0
965.08,B07,GVWY,25.0
965.08,B08,ZIC,190.0
965.08,B09,ZIP,510.0
965.08,B10,RL,590.0
965.08,S00,ZIP,1494.0
965.08,S01,ZIP,1221.0
965.08,S02,ZIC,862.0
965.08,S03,ZIC,504.0
965.08,S04,SHVR,0.0
965.08,S05,SHVR,15.0
965.08,S06,GVWY,0.0
965.08,S07,GVWY,0.0
1086.22,B00,GVWY,0.0
1086.22,B01,SHVR,0.0
1086.22,B02,ZIC,0.0
1086.22,B03,RL,0.0
1086.22,B04,RL,0.0
1086.22,B05,ZIP,6.0
1086.22,B06,SHVR,1.0
1086.22,B07,GVWY,27.0
1086.22,B08,ZIC,216.0
1086.22,B09,ZIP,544.0
1086.22,B10,RL,683.0
1086.22,S00,ZIP,1700.0
1086.22,S01,ZIP,1389.0
1086.22,S02,ZIC,979.0
1086.22,S03,ZIC,544.0
1086.22,S04,SHVR,0.0
1086.22,S05,SHVR,15.0
1086.22,S06,GVWY,0.0
1086.22,S07,GVWY,0.0
1206.67,B00,GVWY,0.0
1206.67,B01,SHVR,0.0
1206.67,B02,ZIC,0.0
1206.67,B03,RL,0.0
1206.67,B04,RL,0.0
1206.67,B05,ZIP,6.0
1206.67,B06,SHVR,1.0
1206.67,B07,GVWY,34.0
1206.67,B08,ZIC,260.0
1206.67,B09,ZIP,627.0
1206.67,B10,RL,762.0
1206.67,S00,ZIP,1957.0
1206.67,S01,ZIP,1555.0
1206.67,S02,ZIC,1060.0
1206.67,S03,ZIC,634.0
1206.67,S04,SHVR,0.0
1206.67,S05,SHVR,15.0
1206.67,S06,GVWY,0.0
1206.67,S07,GVWY,0.0
1327.32,B00,GVWY,0.0
1327.32,B01,SHVR,0.0
1327.32,B02,ZIC,0.0
1327.32,B03,RL,0.0
1327.32,B04,RL,0.0
1327.32,B05,ZIP,6.0
1327.32,B06,SHVR,1.0
1327.32,B07,GVWY,34.0
1327.32,B08,ZIC,285.0
1327.32,B09,ZIP,688.0
1327.32,B10,RL,821.0
1327.32,S00,ZIP,2069.0
1327.32,S01,ZIP,1731.0
1327.32,S02,ZIC,1215.0
1327.32,S03,ZIC,707.0
1327.32,S04,SHVR,0.0
1327.32,S05,SHVR,15.0
1327.32,S06,GVWY,0.0
1327.32,S07,GVWY,0.0
1448.48,B00,GVWY,0.0
1448.48,B01,SHVR,0.0
1448.48,B02,ZIC,0.0
1448.48,B03,RL,0.0
1448.48,B04,RL,0.0
1448.48,B05,ZIP,6.0
1448.48,B06,SHVR,1.0
1448.48,B07,GVWY,34.0
1448.48,B08,ZIC,293.0
1448.48,B09,ZIP,748.0
1448.48,B10,RL,880.0
1448.48,S00,ZIP,2249.0
1448.48,S01,ZIP,1831.0
1448.48,S02,ZIC,1339.0
1448.48,S03,ZIC,808.0
1448.48,S04,SHVR,0.0
1448.48,S05,SHVR,15.0
1448.48,S06,GVWY,0.0
1448.48,S07,GVWY,0.0
1569.56,B00,GVWY,0.0
1569.56,B01,SHVR,0.0
1569.56,B02,ZIC,0.0
1569.56,B03,RL,0.0
1569.56,B04,RL,0.0
1569.56,B05,ZIP,6.0
1569.56,B06,SHVR,1.0
1569.56,B07,GVWY,34.0
1569.56,B08,ZIC,305.0
1569.56,B09,ZIP,782.0
1569.56,B10,RL,944.0
1569.56,S00,ZIP,2423.0
1569.56,S01,ZIP,1976.0
1569.56,S02,ZIC,1435.0
1569.56,S03,ZIC,884.0
1569.56,S04,SHVR,0.0
1569.56,S05,SHVR,15.0
1569.56,S06,GVWY,0.0
1569.56,S07,GVWY,0.0
1690.25,B00,GVWY,0.0
1690.25,B01,SHVR,0.0
1690.25,B02,ZIC,0.0
1690.25,B03,RL,0.0
1690.25,B04,RL,0.0
1690.25,B05,ZIP,6.0
1690.25,B06,SHVR,1.0
1690.25,B07,GVWY,34.0
1690.25,B08,ZIC,330.0
1690.25,B09,ZIP,831.0
1690.25,B10,RL,1024.0
1690.25,S00,ZIP,2643.0
1690.25,S01,ZIP,2201.0
1690.25,S02,ZIC,1558.0
1690.25,S03,ZIC,941.0
1690.25,S04,SHVR,0.0
1690.25,S05,SHVR,15.0
1690.25,S06,GVWY,0.0
1690.25,S07,GVWY,0.0
1810.70,B00,GVWY,0.0
1810.70,B01,SHVR,0.0
1810.70,B02,ZIC,0.0
1810.70,B03,RL,0.0
