trial,engine,trader_type,balance
1,TBSE,RL,0.0
1,TBSE,ZIC,0.0
1,TBSE,ZIC,0.0
1,TBSE,ZIC,6419.0
1,TBSE,ZIC,207.0
1,TBSE,GVWY,0.0
1,TBSE,GVWY,1314.0
1,TBSE,GVWY,4275.0
1,TBSE,GVWY,0.0
1,TBSE,SHVR,0.0
1,TBSE,SHVR,5069.0
1,TBSE,SHVR,8397.0
1,TBSE,SHVR,0.0
1,TBSE,GA,0.0
1,TBSE,ZIP,1249.0
1,TBSE,ZIP,4429.0
1,TBSE,ZIP,3474.0
1,TBSE,ZIP,21.0
2,TBSE,GA,0.0
2,TBSE,ZIC,0.0
2,TBSE,ZIC,0.0
2,TBSE,ZIC,1687.0
2,TBSE,ZIC,0.0
2,TBSE,ZIP,0.0
2,TBSE,ZIP,1730.0
2,TBSE,ZIP,6625.0
2,TBSE,ZIP,90.0
2,TBSE,GVWY,0.0
2,TBSE,GVWY,3567.0
2,TBSE,GVWY,3355.0
2,TBSE,GVWY,131.0
2,TBSE,SHVR,182.0
2,TBSE,SHVR,5970.0
2,TBSE,SHVR,7498.0
2,TBSE,SHVR,0.0
2,TBSE,RL,2586.0
3,TBSE,GVWY,0.0
3,TBSE,GVWY,1165.0
3,TBSE,GVWY,7557.0
3,TBSE,GVWY,0.0
3,TBSE,GA,0.0
3,TBSE,SHVR,0.0
3,TBSE,SHVR,2572.0
3,TBSE,SHVR,0.0
3,TBSE,SHVR,5.0
3,TBSE,RL,8.0
3,TBSE,ZIC,1.0
3,TBSE,ZIC,292.0
3,TBSE,ZIC,5417.0
3,TBSE,ZIC,0.0
3,TBSE,ZIP,795.0
3,TBSE,ZIP,4933.0
3,TBSE,ZIP,8965.0
3,TBSE,ZIP,3170.0
4,TBSE,GVWY,0.0
4,TBSE,GVWY,0.0
4,TBSE,GVWY,7766.0
4,TBSE,GVWY,3.0
4,TBSE,SHVR,0.0
4,TBSE,SHVR,876.0
4,TBSE,SHVR,3704.0
4,TBSE,SHVR,0.0
4,TBSE,ZIP,4.0
4,TBSE,ZIP,4340.0
4,TBSE,ZIP,1666.0
4,TBSE,ZIP,0.0
4,TBSE,GA,0.0
4,TBSE,ZIC,64.0
4,TBSE,ZIC,1362.0
4,TBSE,ZIC,6137.0
4,TBSE,ZIC,0.0
4,TBSE,RL,4422.0
5,TBSE,ZIP,0.0
5,TBSE,ZIP,6809.0
5,TBSE,ZIP,2459.0
5,TBSE,ZIP,0.0
5,TBSE,SHVR,0.0
5,TBSE,SHVR,456.0
5,TBSE,SHVR,6908.0
5,TBSE,SHVR,0.0
5,TBSE,ZIC,0.0
5,TBSE,ZIC,2291.0
5,TBSE,ZIC,5117.0
5,TBSE,ZIC,3335.0
5,TBSE,GVWY,0.0
5,TBSE,GVWY,808.0
5,TBSE,GVWY,193.0
5,TBSE,GVWY,21.0
5,TBSE,RL,323.0
5,TBSE,GA,3449.0
6,TBSE,GVWY,0.0
6,TBSE,GVWY,0.0
6,TBSE,GVWY,4699.0
6,TBSE,GVWY,0.0
6,TBSE,SHVR,0.0
6,TBSE,SHVR,266.0
6,TBSE,SHVR,0.0
6,TBSE,SHVR,6694.0
6,TBSE,ZIP,0.0
6,TBSE,ZIP,49.0
6,TBSE,ZIP,2624.0
6,TBSE,ZIP,641.0
6,TBSE,GA,0.0
6,TBSE,RL,1592.0
6,TBSE,ZIC,2075.0
6,TBSE,ZIC,3543.0
6,TBSE,ZIC,3007.0
6,TBSE,ZIC,3.0
7,TBSE,ZIC,0.0
7,TBSE,ZIC,5.0
7,TBSE,ZIC,4173.0
7,TBSE,ZIC,36.0
7,TBSE,SHVR,0.0
7,TBSE,SHVR,0.0
7,TBSE,SHVR,6080.0
7,TBSE,SHVR,0.0
7,TBSE,GVWY,0.0
7,TBSE,GVWY,1388.0
7,TBSE,GVWY,1882.0
7,TBSE,GVWY,0.0
7,TBSE,ZIP,711.0
7,TBSE,ZIP,4436.0
7,TBSE,ZIP,9368.0
7,TBSE,ZIP,1612.0
7,TBSE,RL,1457.0
7,TBSE,GA,4345.0
8,TBSE,ZIP,0.0
8,TBSE,ZIP,66.0
8,TBSE,ZIP,6127.0
8,TBSE,ZIP,125.0
8,TBSE,ZIC,0.0
8,TBSE,ZIC,3173.0
8,TBSE,ZIC,3149.0
8,TBSE,ZIC,1568.0
8,TBSE,SHVR,0.0
8,TBSE,SHVR,2756.0
8,TBSE,SHVR,6038.0
8,TBSE,SHVR,0.0
8,TBSE,GVWY,0.0
8,TBSE,GVWY,75.0
8,TBSE,GVWY,8615.0
8,TBSE,GVWY,0.0
8,TBSE,RL,797.0
8,TBSE,GA,517.0
9,TBSE,SHVR,0.0
9,TBSE,SHVR,3688.0
9,TBSE,SHVR,0.0
9,TBSE,SHVR,0.0
9,TBSE,ZIC,0.0
9,TBSE,ZIC,0.0
9,TBSE,ZIC,9878.0
9,TBSE,ZIC,3761.0
9,TBSE,GVWY,0.0
9,TBSE,GVWY,0.0
9,TBSE,GVWY,7908.0
9,TBSE,GVWY,0.0
9,TBSE,RL,25.0
9,TBSE,ZIP,502.0
9,TBSE,ZIP,2829.0
9,TBSE,ZIP,784.0
9,TBSE,ZIP,0.0
9,TBSE,GA,377.0
10,TBSE,SHVR,0.0
10,TBSE,SHVR,0.0
10,TBSE,SHVR,5300.0
10,TBSE,SHVR,0.0
10,TBSE,ZIP,0.0
10,TBSE,ZIP,4157.0
10,TBSE,ZIP,4122.0
10,TBSE,ZIP,1990.0
