virtual_time,trader_id,trader_type,balance
60.24,B00,GA,0.0
60.24,B01,ZIC,0.0
60.24,B02,ZIC,0.0
60.24,B03,ZIP,0.0
60.24,B04,GVWY,0.0
60.24,B05,SHVR,7.0
60.24,B06,ZIP,28.0
60.24,B07,RL,16.0
60.24,B08,GVWY,1.0
60.24,B09,SHVR,40.0
60.24,S00,SHVR,77.0
60.24,S01,ZIP,79.0
60.24,S02,GVWY,6.0
60.24,S03,ZIC,35.0
60.24,S04,GVWY,3.0
60.24,S05,ZIP,12.0
60.24,S06,ZIC,0.0
60.24,S07,SHVR,0.0
120.76,B00,GA,0.0
120.76,B01,ZIC,0.0
120.76,B02,ZIC,0.0
120.76,B03,ZIP,0.0
120.76,B04,GVWY,0.0
120.76,B05,SHVR,7.0
120.76,B06,ZIP,29.0
120.76,B07,RL,43.0
120.76,B08,GVWY,4.0
120.76,B09,SHVR,88.0
120.76,S00,SHVR,179.0
120.76,S01,ZIP,79.0
120.76,S02,GVWY,46.0
120.76,S03,ZIC,61.0
120.76,S04,GVWY,17.0
120.76,S05,ZIP,22.0
120.76,S06,ZIC,0.0
120.76,S07,SHVR,0.0
180.78,B00,GA,0.0
180.78,B01,ZIC,0.0
180.78,B02,ZIC,0.0
180.78,B03,ZIP,0.0
180.78,B04,GVWY,0.0
180.78,B05,SHVR,7.0
180.78,B06,ZIP,36.0
180.78,B07,RL,52.0
180.78,B08,GVWY,30.0
180.78,B09,SHVR,117.0
180.78,S00,SHVR,273.0
180.78,S01,ZIP,122.0
180.78,S02,GVWY,93.0
180.78,S03,ZIC,61.0
180.78,S04,GVWY,21.0
180.78,S05,ZIP,22.0
180.78,S06,ZIC,0.0
180.78,S07,SHVR,0.0
241.09,B00,GA,0.0
241.09,B01,ZIC,0.0
241.09,B02,ZIC,0.0
241.09,B03,ZIP,0.0
241.09,B04,GVWY,0.0
241.09,B05,SHVR,14.0
241.09,B06,ZIP,50.0
241.09,B07,RL,68.0
241.09,B08,GVWY,87.0
241.09,B09,SHVR,180.0
241.09,S00,SHVR,310.0
241.09,S01,ZIP,238.0
241.09,S02,GVWY,153.0
241.09,S03,ZIC,84.0
241.09,S04,GVWY,29.0
241.09,S05,ZIP,22.0
241.09,S06,ZIC,0.0
241.09,S07,SHVR,0.0
301.62,B00,GA,0.0
301.62,B01,ZIC,0.0
301.62,B02,ZIC,0.0
301.62,B03,ZIP,0.0
301.62,B04,GVWY,0.0
301.62,B05,SHVR,15.0
301.62,B06,ZIP,73.0
301.62,B07,RL,91.0
301.62,B08,GVWY,100.0
301.62,B09,SHVR,271.0
301.62,S00,SHVR,437.0
301.62,S01,ZIP,326.0
301.62,S02,GVWY,185.0
301.62,S03,ZIC,98.0
301.62,S04,GVWY,33.0
301.62,S05,ZIP,36.0
301.62,S06,ZIC,0.0
301.62,S07,SHVR,0.0
362.20,B00,GA,0.0
362.20,B01,ZIC,0.0
362.20,B02,ZIC,0.0
362.20,B03,ZIP,0.0
362.20,B04,GVWY,0.0
362.20,B05,SHVR,19.0
362.20,B06,ZIP,87.0
362.20,B07,RL,100.0
362.20,B08,GVWY,113.0
362.20,B09,SHVR,332.0
362.20,S00,SHVR,515.0
362.20,S01,ZIP,369.0
362.20,S02,GVWY,225.0
362.20,S03,ZIC,120.0
362.20,S04,GVWY,38.0
362.20,S05,ZIP,36.0
362.20,S06,ZIC,0.0
362.20,S07,SHVR,0.0
422.39,B00,GA,0.0
422.39,B01,ZIC,0.0
422.39,B02,ZIC,0.0
422.39,B03,ZIP,0.0
422.39,B04,GVWY,0.0
422.39,B05,SHVR,19.0
422.39,B06,ZIP,95.0
422.39,B07,RL,146.0
422.39,B08,GVWY,174.0
422.39,B09,SHVR,363.0
422.39,S00,SHVR,556.0
422.39,S01,ZIP,499.0
422.39,S02,GVWY,248.0
422.39,S03,ZIC,120.0
422.39,S04,GVWY,38.0
422.39,S05,ZIP,36.0
422.39,S06,ZIC,0.0
422.39,S07,SHVR,0.0
482.48,B00,GA,0.0
482.48,B01,ZIC,0.0
482.48,B02,ZIC,0.0
482.48,B03,ZIP,0.0
482.48,B04,GVWY,0.0
482.48,B05,SHVR,23.0
482.48,B06,ZIP,117.0
482.48,B07,RL,162.0
482.48,B08,GVWY,209.0
482.48,B09,SHVR,435.0
482.48,S00,SHVR,626.0
482.48,S01,ZIP,532.0
482.48,S02,GVWY,292.0
482.48,S03,ZIC,147.0
482.48,S04,GVWY,38.0
482.48,S05,ZIP,37.0
482.48,S06,ZIC,0.0
482.48,S07,SHVR,0.0
542.52,B00,GA,0.0
542.52,B01,ZIC,0.0
542.52,B02,ZIC,0.0
542.52,B03,ZIP,0.0
542.52,B04,GVWY,0.0
542.52,B05,SHVR,23.0
542.52,B06,ZIP,125.0
542.52,B07,RL,182.0
542.52,B08,GVWY,227.0
542.52,B09,SHVR,520.0
542.52,S00,SHVR,710.0
542.52,S01,ZIP,608.0
542.52,S02,GVWY,328.0
542.52,S03,ZIC,164.0
542.52,S04,GVWY,38.0
542.52,S05,ZIP,40.0
542.52,S06,ZIC,0.0
542.52,S07,SHVR,0.0
602.95,B00,GA,0.0
602.95,B01,ZIC,0.0
602.95,B02,ZIC,0.0
602.95,B03,ZIP,0.0
602.95,B04,GVWY,0.0
602.95,B05,SHVR,35.0
